L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT,nonce
-1375912129,-825605695,-1745839056,-2071691351,-532235159,1057642889,1692278282,-2127037201,-1471659162,1667393741,-1212213016,-221527104,-846788491,1759315337,-1545462368,406718650,2946
1877819999,-1697691179,705075169,1612557522,449206528,1707714766,-760150727,150229911,1589351136,-33754394,189367332,-413967584,1287065715,-418018368,2069578809,-592350480,2947
-606735171,-1352806041,-200039168,1002352519,1079341569,1761978805,1032226945,-983950832,274836444,-456542013,247878793,151496056,653433574,-1316483016,592481722,-694476192,2948
-1074493274,1001091149,-1730722642,1190486031,-734034762,993717848,1333061519,1937188137,1053767198,1865236200,1983327981,-379939071,-747349411,557616442,1719287562,1788478572,2949
-384671200,-66538135,949534212,-1118802421,1141465930,236390704,1795701389,938841085,484496643,-959844077,-274193641,2024552432,434707578,8645331,636176379,-533830290,2950
-448980428,-1171066739,1026835236,-339503736,462104657,665808994,494536940,815903237,-813779970,-1311225740,-341141875,829979879,-241441105,1880024887,-1288219305,-2009353806,2951
1328974497,-1524327194,1498857600,-1766164744,1638878119,2083855995,114003774,-1459593091,-1194186648,-1018950303,939423910,-1968461124,2018288515,-559567481,1148260546,1673788869,2952
-485254036,536087709,-492792420,-995598536,1994047891,150541058,552142032,-1125731956,1548428284,94764193,-2014782982,-1765105587,2057449964,-291395846,-787015797,360919987,2953
-275167759,-404039151,-1995919533,-1938240703,1380655499,-137709463,297264018,-2085597122,-1352998855,595407202,-434460171,498076933,1740201482,-1198293335,-1506762088,-242419404,2954
-2020164998,1855901867,-1896014791,-1053218809,-1971140320,1546533850,-1623506135,-603312159,-1540614705,1584253818,-954884212,-766885088,-482668404,-1352353795,-584025614,196570186,2955
485699632,-145995129,-2017506851,362121358,-1815768886,-1478643593,238255865,-1617647707,-60703347,532839934,1944024850,-210478368,412375959,1529999274,-425832085,-1559041605,2956
-1667991749,1869851029,-288487474,922917969,2125022534,-1959713068,378718481,2042935037,-2111484933,559046709,560810192,-129323545,2061255150,1791642352,1242387263,-1456925944,2957
-178399317,-1850688082,345953867,1832188912,-1327952271,-1867432631,-277127723,1379768150,1228968813,-138536547,-843782262,-1299241042,1362897808,1281116374,-614024100,1564438161,2958
1706818787,691877190,1555737341,-511498139,-252568423,363556649,-311682735,-2130995600,-966086120,-1060922498,2125001319,2093273058,-297829360,164049644,115692098,-2130700254,2959
-1243583835,1341345121,-1348908226,1204338740,1410143725,379389663,1839439813,1834313872,-81737221,1781284680,-1213884155,-225574593,294393238,186019101,-901384275,-803823132,2960
538294447,-1233998082,-922700395,-80089254,-382147017,1426171489,1597191926,1371301051,34827351,-1323318658,1581450224,-1337942780,-788876701,-1980665636,2029803989,1570960657,2961
2017114577,111171048,1109974064,1372771364,228780855,-665777269,1956553104,-1577841993,-544332818,-564866432,-1285996131,-2028723695,-1387776829,-745331783,21211885,-776775051,2962
-265023897,886396935,-753598733,572933760,950849037,-434971621,-800000505,531389114,-13528206,649748566,-667355153,559684103,1239905156,1292776033,972767525,-932030212,2963
1914358371,-1688358073,-263877627,1176075937,372630081,601209863,696618875,-1069870987,-1962370725,-1895164966,577703691,-1777033154,-168416781,-1498752611,-1547436033,-1073651341,2964
1835221060,379650810,1328011952,-845999272,2019780523,-1576495958,1530273384,1057068111,190826991,-622263345,335641929,-1658715590,-431339722,-167584413,1458138745,-1471296174,2965
1164537389,747638330,-556004146,1192925412,1836229860,662253684,-1557153080,1462116149,-897142604,-1010510701,-93765245,175855563,1309427548,-1982409301,1323575262,-1344839813,2966
-1094537047,-335518683,519616234,1247921251,-1899641221,-1936418718,-1194682955,1876571793,-921739588,1507662805,-845499691,764093785,423248589,1934258577,1702848705,1167007877,2967
1058902222,1892120467,1169530232,1351110708,754631395,-299240167,-1497917289,259636331,1528778594,-612397007,-173168035,528450747,-605219332,-1400511524,2081789397,1051506716,2968
-1983804817,-1215206081,-359305363,389670328,-31840609,-1554339966,1287265421,1389763124,391095518,658283530,425305638,1810636228,404760977,1992592896,240478173,370899259,2969
116575716,-158404390,-1282665253,753436810,278117925,364363811,-1170003604,-352425469,65711524,1508465250,-327697432,1387074186,947319787,-1461446555,-853156989,424614982,2970
-895105902,-266376596,1490142370,-334938748,-1740527389,447764355,-713065167,-1505720480,-81826877,-440832986,1855068253,-1562314068,-1759518568,195792038,111914492,-1572671611,2971
-371754621,1321766524,-229136647,-851826317,1663406397,1190235123,-1924419647,1330977246,-318437412,712317759,-458914077,-1385104894,-1842270428,50373294,731674971,571669656,2972
-692421758,1476718578,-938049781,-846167214,1251454745,1038696771,850987473,-2111307040,-2118692067,-1345520447,-1556505538,-776488343,-1330417044,1574027964,-815504875,1431929089,2973
314663556,-292440716,1317115590,1053136893,1234159226,1688391352,503315442,-719001315,-1096883459,885806279,2075958953,421636176,-1417897763,-2045899254,1334108775,-1547544772,2974
1374027149,1701433793,-385224302,-847233228,-767179834,-1759972909,-966205291,353106450,1648994443,-126695788,-1785407058,-1918897650,1321957115,-571619795,-957332477,-475014359,2975
1337254292,2061345948,1905379467,-1406219908,2105893293,1950062544,926930861,-40396164,1944024017,1690621134,-1001153738,2103054569,-1452032451,-1680767089,1673176030,-1870100148,2976
-225476473,302439809,-198395711,-1013434425,-1370260266,-1382048512,290941479,1815874642,591233103,1639304951,-764052291,1618691135,940191074,-69171790,563949255,1369164120,2977
-2097180142,464534436,-118449631,-1804541907,-1420423097,165085232,-977561301,-1832125423,-643859809,-1616503398,-1379629379,-106823314,429009539,1182913628,1831283165,1485541986,2978
45143065,-1389620153,-132888488,-568086678,1552924671,-79333723,-121191896,1220858032,2117054488,1621976135,-2106690727,-46662832,-2067411161,817845112,-570070035,48307712,2979
-359179164,1072497520,716668405,-2018631804,2134558856,611721875,-1521364032,-2006968793,67905415,393786688,1638197386,-1652734957,-1571096803,515227267,2055829510,-670557417,2980
1675090045,1411777806,-1594430982,821564603,-2138291377,323851527,-2098637023,21663648,-1156530972,861785788,-1395816115,581058179,-935108233,-287631540,665310450,891977421,2981
-458452949,1947219488,-247512136,1824044869,-1324883624,-817217867,1621107208,1148685056,-1260679200,-1684524197,341833908,726339824,1766912838,-2041635018,1806603592,2107345198,2982
-1382202845,-2116869997,-990611373,-243387577,-893502130,612324733,1616333278,1424835244,-978748152,-1614807129,323773468,153951240,1801821889,535615616,-1345604033,-434767698,2983
-110597826,1851699857,-1673581585,1790718228,-1791372026,181339587,-409647771,1143201186,964088357,592528071,700880423,-259373135,-420831082,-1167928563,301715105,788082350,2984
-1306702752,680986304,478847607,-2119711485,-345060459,67160992,1752285163,1374159650,653867106,-443512716,-655850873,1546004994,-1055967159,-1697805216,-1566596023,-767013377,2985
849466195,928326507,2129454957,-1064129582,-467817348,797690161,-1288053882,1972545794,856373550,-785057097,857321769,-721938609,-1425905352,259411656,1443889772,581830178,2986
2047669634,-1281984882,1950450024,-1203366542,1471472608,2110304051,1471649143,-1591160672,-2109599972,1814389268,-1184930452,2139268510,2083913835,174896737,-1085107626,953312370,2987
-932453043,1731201337,-284147502,1803494196,-1661217757,-1403510287,1360400479,1957247263,-458424521,690564135,2121024781,2110542178,-263173334,-257436171,246594448,-159432653,2988
-1578800675,543550398,-1680547487,1443197171,-668882504,-422464223,1585042577,-1385074521,1094301242,-90894790,5292906,-576470062,-455759309,-1746564615,-1611258203,1602154554,2989
