N_NATIONKEY,N_NAME,N_REGIONKEY,N_COMMENT,nonce
67798794,-393111192,1624153130,-128911809,1501
488148986,354116247,976710089,-267035804,1502
-2092450109,-182152098,118304137,945621389,1503
408282721,573784604,-934849113,-603400854,1504
926474136,367967123,-1835779672,1813926018,1505
-1306129842,136077908,809151042,629143058,1506
872223219,-1133648922,-1751195492,1056612530,1507
-144844426,-119095609,-1790893658,894958083,1508
1801639372,-1209590619,286700035,-978661375,1509
-1623625267,-1296014741,697646620,-756457015,1510
1776997699,-816423644,138332489,-92433062,1511
290185288,-1069522456,201510335,-1352137659,1512
196449888,21967456,1846901402,1184744581,1513
1112034372,-513454525,-687401274,1558597892,1514
-1123927093,656380037,-1178333593,266352079,1515
32253313,-1466050742,1503222921,-114987862,1516
-1978124351,832077532,219153690,129502549,1517
-1863985232,980770576,-1411849611,-1482161306,1518
-1695429068,1370724398,-578957378,-1358841696,1519
204993998,-2025882417,1125466567,-1067693238,1520
-1634322067,1482427340,-1438648702,922199843,1521
-1963669735,1719009987,1804465668,146348835,1522
555552947,69754547,-748071850,-1002014969,1523
-1752790338,-6399940,-1214549494,1798258617,1524
294730711,1100507233,-1338678622,-1404128377,1525
