N1_N_NATIONKEY,N1_N_NAME,N1_N_REGIONKEY,N1_N_COMMENT,nonce
-1187801781,-2129307033,-1156612730,-1874863847,2101
-1372697072,1411434600,-1964115537,880335481,2102
-1264261520,-75595861,-1244906240,-1605023141,2103
751234325,648915626,-234743930,1687894107,2104
-487591791,1210900243,-2144926176,726409732,2105
-2136325850,1701996454,1018034840,-1325878692,2106
1179347595,-1646274659,-435320391,-1771440139,2107
1929241875,-308376709,-157343979,-2009243387,2108
-990715887,1552306950,910247606,-1026597714,2109
-2130564802,-1940217789,821147524,1802076176,2110
1635116154,-1176064800,-1710952786,991430013,2111
299747737,-1545493179,-1481297959,1181365373,2112
1996817765,-1951743250,-1051597010,-129866285,2113
1948512121,-1959668536,-1271796580,-2105240919,2114
1930600931,1876600801,-1254765968,-1963914032,2115
151407725,1991836272,84187369,-1883919554,2116
3976766,162379698,-474860393,-1556519367,2117
-1581218667,-2082793302,-316271008,-1565104292,2118
-1994147468,-20880161,-2007857995,1546933885,2119
985291486,-454810612,-820959064,1605719455,2120
-936204329,-571638780,1112497536,-999517279,2121
-1757830179,-235428488,642841939,-1934880572,2122
-1875013065,-1967820945,-16767061,370340113,2123
26582287,-77544735,945100893,-441221915,2124
-128406158,-752775137,-1345810271,1049285106,2125
