P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,P_COMMENT,nonce
-1657933029,552223744,1795770135,1594112545,273588870,-922118013,1793803275,1776604619,-2009341404,85451
799859497,-51606511,1591093786,-183818739,1630753522,-491494501,-1019490410,28517629,1404043920,85452
-601387620,-607729926,1013188437,321365290,-152965800,38898704,-1934200803,1436497694,-356199471,85453
212985390,-474914618,740025678,-1488844852,64757223,-1993188670,904374514,551103165,998476199,85454
1968574264,-267190357,-1367091878,1013304315,833919092,668086348,281137304,559220197,-843079339,85455
1359669820,-2004751329,-846853832,273060978,-2108810688,819323974,992422665,-1609259952,-1123067184,85456
1620133620,-819022310,2093785431,1633094277,616221012,1717540750,384621318,137698913,-1419080649,85457
-1973389174,-1890309423,30344309,-340460381,-1611441450,-1975970960,-702495987,-941146414,-517941957,85458
-783841449,2096243281,794415627,-1708231954,-1185958740,2031625291,-520822563,897919456,-24740190,85459
481295617,-1045150352,318310180,1602294219,-13814290,1078411702,2062150563,1806963385,1793090291,85460
471449601,1800935941,826204705,188630472,-894551527,666118254,-2050992557,529263990,-1155925729,85461
1688266515,1782796133,-2071795785,-1160851079,1330117524,-407487931,-1596412499,-1982522355,-1190872913,85462
-863367334,-1960739388,-405853686,-42353925,64247584,1317330947,655050727,986516730,1552853579,85463
-2103453956,-1187585932,434058579,2144795883,-1046821826,32425739,1332466436,1629754978,-1132512035,85464
-742388331,1582936177,1822525396,539731112,-1013267786,519427979,-1372562430,-1021920885,849823868,85465
1864695720,2114997054,1459020170,-1890009883,1021096924,1677838648,1615222530,1199518987,-1257408802,85466
715655265,-1958991729,590579615,-1738013514,-508204849,-1191375232,-1365217727,-1432490971,-323934187,85467
282708018,1527342453,648961492,1069527398,-338772008,1099736436,-2096501029,129700878,-1967412783,85468
-1824234597,1486951535,-1128062874,1533927142,-34748856,-41057648,-1919837740,36459359,-1974664375,85469
448371164,-1132670906,1015555927,923901888,-1782862024,-11175630,918823685,-1198917380,1462636896,85470
-1004889915,-790535478,1412476818,-232645918,-818020458,1048176405,1487628983,1312535905,30400220,85471
1474724775,-2119830802,338035405,-1047301135,-1979502907,-1072464257,652785373,-527699851,1902058200,85472
-1835882277,-758824379,-404176996,1853229410,586628727,-1195024156,-950428568,41547831,-361551905,85473
-1615291901,1363551234,-729753933,1990224590,53539019,-1347853769,884521415,-258664193,-1482560354,85474
-140523073,252581839,47777466,1139469295,-1596539541,1195518470,313033894,-1350784748,1715896914,85475
-353194633,500788693,1031838905,2134793340,-245631347,2144640937,579535659,1366775128,1783943265,85476
-1922288728,182661072,-1290179800,1226583198,439746515,498237096,-848779930,-599170464,999808384,85477
-1903583685,44970217,1586001207,914254382,539536702,1928820088,1573988621,1428549466,1362785588,85478
1498339465,-2031597937,-1408499954,1088031728,792565798,-1291018095,27639760,-1036253523,-1278675424,85479
608462911,-2086230582,-391363,1837354150,156531908,893602444,1595867853,-352381887,97437117,85480
-407249211,927463598,-1820562418,1997800552,2011891726,599743574,1307664726,-112012088,-771651465,85481
1696213090,2139609171,202220110,1771342162,746632642,1347306320,-106582938,1680009913,-1317276668,85482
1154634993,837377490,1988727198,-2054951848,-470308999,-160293748,1688530158,2117549508,-1322236635,85483
147975819,-454624377,-243078831,1162455766,-846971684,-2030900732,-966385339,-900806503,-1069992181,85484
56401081,2084630703,-2041064701,231200244,1923668822,-1969154695,-1809895156,-1341988520,869196599,85485
-1693929968,1788202811,2003628861,103771771,-1091106208,596693569,1125740611,-704531881,1535647315,85486
47555649,67830401,-1532242266,544093425,-2015423776,752947834,-1787183531,689109847,-179524998,85487
-665480708,-1113570163,-1372216215,-239979165,131178105,1024096986,1460712016,1796439000,-859491444,85488
2026918921,1444854270,685802849,-935064493,-576460449,880159886,-96182599,1713905318,385157450,85489
1362816427,-1791695645,-1696578893,-757001368,1003602816,-289283692,720781455,-1132327476,407294850,85490
-867122866,2034330609,-11910138,1654654101,905228378,-18828651,31717185,-1619515926,-2013992179,85491
-874517162,1183934141,-224513165,1839983421,1767012928,-433944030,-827578248,1825776233,1410707635,85492
1844852789,-1746005359,53532375,-251847827,1716520562,960879391,-739515090,1158166857,1369779624,85493
-55909023,-929358325,636003531,-679696723,-774400656,573509123,1410855528,375750513,1744066765,85494
-1540427801,-490622168,-913141112,-1056246767,838448545,1743404533,689183732,2077354887,522995912,85495
878478227,1815828101,871625184,-1422668883,-426068826,101445003,-951989761,-803005049,2050863667,85496
1958789510,-2127599182,675374247,-1910449647,-1531701936,2134037540,348017449,-1695290497,1384208386,85497
379416315,-395515544,946418967,-1362839529,-1852059341,1974584461,-1461347259,-741725708,-1747601764,85498
890206663,-629240264,-1212142495,1354588965,1799973227,-946993428,1068418451,663915360,34030147,85499
-380927742,710322582,858328459,-1361529640,-480857469,-1764882293,-567642289,269613926,1453672979,85500
-417537756,-1509944715,-596536463,1767542675,-1183161067,290910907,1180641505,2076291068,-867763905,85501
781804598,1170273188,-270394003,873992796,405900611,-716421171,-183198125,-489361280,-522024729,85502
1429963635,-677712727,1899019864,-1519328655,1952398663,1299562541,27839071,-680863426,1403886585,85503
233698126,-1297756751,-2105959482,951464188,789892471,-1147003532,-1886634477,-2017434649,-784023768,85504
940722082,-282891293,634042640,-1732458036,1510779800,-840736834,-2049291289,116519424,2117398296,85505
-826355858,231617163,-1258045865,-318255625,-1636309891,320523555,1769142856,1985723383,-900994224,85506
-208691129,2076039417,1381906781,1428521797,699193865,-1319939576,35822927,-1294642855,-448264385,85507
-1329166722,115882784,-1066325226,743392448,1558701934,-1466283310,1199794102,-877173827,546129456,85508
55349128,-1481690381,1715610971,1678679381,992545542,-315843987,-172249920,1074864074,-868782604,85509
545514690,-1697687902,972046846,-181602538,-939042679,-702785240,1332361147,-477951118,-570561411,85510
1009883289,1065853178,543467819,-2030778424,-1862619309,421486406,479847123,149731373,-1514496954,85511
2027553747,-1194654916,-736709537,-1716812124,-1550083596,1171752910,1241376784,-799191738,-1649563005,85512
1040204250,588923652,480501523,432286250,10862237,964055043,-1068582454,-888879569,-1952785934,85513
748980622,-1750753763,-272780636,1617291599,-1215264650,-146887673,1139717287,1280940391,256161797,85514
-1907801054,-1571618517,584594059,-674348207,-1326472458,1701076071,-1787439770,2095664281,1930846473,85515
-912684570,-472095873,1732669181,752917627,1255415362,-1387928983,-1723800864,-1162271891,1834850579,85516
1806053649,-1406947871,-464013140,-1591347718,724130936,1606197422,467543041,-769820659,1636771865,85517
782179553,-1486389165,214891540,-234228255,-162773529,-539414087,-1241888284,-1517559662,197682915,85518
-1048360860,1156803948,-332016277,-61194324,568498382,1163938017,2001226389,-1051095130,-1459088931,85519
-2035546457,1828780247,-1796842266,394605988,-1110419223,-650246527,-598712811,1114693357,-473989369,85520
599529143,-565579920,1346694733,-928970321,320385532,1247845371,-1117777490,-1144213510,-1853628288,85521
-849130254,-49785658,135820302,1859687561,-350489888,926346579,-2092441941,-405780382,1830634734,85522
1040851747,-1488621952,-1639755174,1834171155,248478620,-1061394824,714413275,-2013588228,-326262966,85523
-1544508044,-1968409235,-671490763,1635344938,129372906,730589346,982165273,-878729879,-1690090422,85524
-56330566,-81691097,-1396054174,282390303,-1843337152,-80189867,-405837481,1432220667,948487248,85525
1697722837,2024494492,1215268330,1752510990,-1032720064,-18164187,-1264906083,-773647626,1143196365,85526
