PS_PARTKEY,PS_SUPPKEY,PS_AVAILQTY,PS_SUPPLYCOST,PS_COMMENT,nonce
-1086797420,725138263,-686378190,802629588,-456599445,17251
2015112116,-1118385683,-162066539,1919888466,1962007059,17252
-1159648375,-1913411099,1867129585,-258863762,-1730509483,17253
-1242565860,-60359820,-1287982737,-903683732,150774596,17254
1153317008,-109193200,372813748,-1833742524,1460246750,17255
-221094395,382657457,1778855722,39041593,443707659,17256
-612257142,1026056991,-1382745100,-691654734,1021731314,17257
1202997172,-1664809429,-53513209,-793457804,79531478,17258
667526227,1331781927,946577120,-1988117428,1201225815,17259
551229591,-351121663,-773693131,368095589,-1842176203,17260
-421293204,-905275782,421536483,418573893,-1874599554,17261
-144489575,-558020579,-48368445,1246996329,551481165,17262
1908879437,183275729,1899086174,-309626150,-1175756097,17263
140334933,-565710857,-504089713,-1309440320,-1337736931,17264
636279751,-1972819694,2058435187,-1550723884,1081865665,17265
1155045762,1715235280,-1187267676,-1116911267,855479116,17266
1318900195,143405830,-1647602412,204223427,-785323008,17267
1498186207,-1860245903,-2025835667,882499619,38603131,17268
-1037665860,-1646495818,-1207205430,1654148401,1376073896,17269
-2080981089,-1823801804,1898223482,-985193277,-317653443,17270
254384084,-517772966,-1786474013,2058130415,1699161522,17271
989045447,2074502286,-617350466,286656301,2126388143,17272
-1494400209,2098867565,1209617114,-828531672,-916296259,17273
1040430648,-1586361982,1059874824,2145731413,1732139939,17274
270774620,1120481319,-1869087890,1029977115,1978311645,17275
-38675644,-1705942442,-721648065,-1327419584,666763263,17276
106567226,939826784,449227020,-660528155,-1443600089,17277
49817236,-108498245,-1982115929,-350925778,-2000739302,17278
-1620211684,-2064760602,1334181569,-413338129,-1942692580,17279
-1967966219,1338970890,2091126386,2099205332,-171812686,17280
9792263,-1594943823,926634447,-1958546857,-1298637702,17281
1343518785,-552720518,-1638476998,2079698636,1923347008,17282
-622665188,1915046002,273630363,377893704,988490771,17283
1646084827,-1288879002,195574328,-1657447421,446048962,17284
-1582502471,-282620191,272113322,1093703335,-1823077294,17285
802544389,-119305203,-791599169,1964560918,-775569247,17286
1461826204,2035144553,-2027024613,661397213,160010105,17287
