S1_S_SUPPKEY,S1_S_NAME,S1_S_ADDRESS,S1_S_NATIONKEY,S1_S_PHONE,S1_S_ACCTBAL,S1_S_COMMENT,nonce
502066665,-106089765,1031844642,1977202130,-1346956442,502148959,1534644859,1
-121511035,1661421959,-1075329621,828423836,1513963897,-1913548643,1823008618,2
-617727429,-1839807224,-1363044929,-807475049,214831468,1535728782,-57206385,3
824914147,1374315421,1106816370,-1139344467,-1883919492,-1421287118,-2130830765,4
-1680214853,1080292471,990496014,1222069902,-613602494,1454256933,1139158484,5
-188480565,-640966432,1342586596,550231212,-534456036,1940647760,313357232,6
-1643552068,-2143372806,-1389374544,-780350139,1688396195,931173944,-1960628783,7
-176350941,-1537481361,-278377550,548326597,1506417346,1541232623,752613088,8
-379826811,-1784866964,-181858401,-1274463292,919819526,-1108762985,-1526724446,9
672098719,-615840668,-1936994353,1922275877,-65476541,1836498006,-1805459303,10
871573921,1872340492,-1692106938,-1105789124,-766261922,-851979037,-481960495,11
-2119308909,783668332,-1372634224,-183183310,-1305291758,-512194608,573412398,12
1274804936,-1913919879,-1046093897,-1149531639,885185917,-1824540536,1736777538,13
-701242710,1427102831,-1518612431,1221823605,-376019681,682713678,-1761810883,14
1421627239,1971558840,877396127,-1816265830,-553133637,-1973360241,1996798328,15
-695817898,1198638510,-1415032579,-2099586472,-644876391,1525851646,929211677,16
-252997600,-1126834596,-965167750,-1356447368,169567684,-1571794642,-1279983411,17
856034545,230193138,-1424778171,-1794952809,823961754,-1304747966,1703131786,18
-1277479269,2083040340,509391013,1265902571,857584386,443506975,1475235860,19
-751617841,-2032239760,1677317573,1762210198,1706737710,1509038792,1735286913,20
-1207252839,-799361001,2129120261,-2015489078,-1777763608,-934025667,-1699035364,21
-1970966126,1747440468,-1758802528,1974413750,1623314126,-1039452468,332929913,22
-886155441,-1554768533,170203424,-786800976,569420527,-1093975748,516457350,23
-777491399,288174419,2107236929,-448834172,-1260274864,-1127046276,937265609,24
-1695657911,-985012582,-649156674,1526123370,383908491,1896423048,-172089718,25
221006752,420078674,1102637614,275380035,-1478618056,1444650447,-603374683,26
-441701740,148622040,-929758224,-2045358181,-1657037437,776403735,-2124633465,27
-375990161,547286808,947675485,1686705656,2050379561,1959424465,-605818061,28
-1413120774,2042832655,2051332301,1769548490,-645271465,-1104218062,350348766,29
263817955,167295858,-1994851655,-89741020,365563878,898070354,-1972925861,30
-1483037169,-2071895922,-573977494,858053679,2018340904,156404942,1562908053,31
-1430786367,671055633,-1998735039,-933025156,106336098,-140407120,-339922522,32
-944418861,756420762,-1872830844,-634925225,-1823501689,1088102783,-1210793368,33
-854247013,893265630,84799238,-1661551682,352894650,1363365912,-544274565,34
-884235061,857641276,-1677245341,1658745819,-879726603,-909362281,369528701,35
-932986964,-902591230,-1837514620,-1653082973,-1924978150,-2141829366,1331263622,36
1136518917,536192181,-362720088,-560340325,-43559718,-299114209,-1264466886,37
1853221466,-1151641435,159009393,2046586324,-2014152884,-1475414513,-587714902,38
1911502215,-217674242,-781979586,-1802818307,-1588129709,1594553630,1501763699,39
2036056684,1155107828,1426973952,-1132256478,-201622793,662418616,-1929982478,40
1009585257,-1062529584,1788407285,1130604827,1478209625,-547576825,455799146,41
1286359865,-1047800995,-937630008,383621802,1006580076,1117313597,211147861,42
-489172687,1146637754,-262061637,-617396180,-1950073124,1855752437,522843124,43
989481165,1664181684,-1807868893,806773294,1695794873,-1160471778,-1280572858,44
1976191031,278448124,-1906947771,765114156,-51174763,218493227,-281660877,45
-1822691094,952384588,2114366506,1418821697,-1438205696,1514802531,-753673927,46
-326493169,-1024581342,-2034909221,-1538807895,764138898,-1884364049,-1039148211,47
-1732345069,-1025277563,754353993,-619997646,-279394683,867316675,-159353030,48
693889075,1257688866,1060404321,1968878254,-1891724001,2145171750,-850582125,49
1061281879,1322805410,-1007900885,-244389145,1908218761,-1758757314,443960914,50
310071002,1534723136,381117388,1557399380,-1582650589,987847936,-63991074,51
84303029,-408375313,-253382202,-327042611,-1192438388,562510296,-1810433144,52
-162189206,958394730,-1542754325,-1758191868,-871303799,-837153483,718332490,53
553697204,784664002,418167468,1118821125,1798757955,1034252124,290369703,54
1397698587,-1464621547,-655910314,1109270458,-664580363,950611359,-353090113,55
1465981851,-774177956,292751205,-953590525,1712920994,1041799634,-9981164,56
1329723921,599541081,-1567764206,-1393121738,-227071483,2018121044,309079916,57
-636853451,-1352130021,-1516826461,68130089,-654138962,694474121,-1025964484,58
-1988420757,1607529337,-402763871,340142507,-538927152,1438971612,158535338,59
1769799211,1958478399,-1649637888,682276343,-460662518,2008606816,830838765,60
902817455,-1865191182,-1147473478,1228752320,-1640357617,-1313513080,-1809748216,61
-288067506,-1584307791,-1227092898,631947657,-1260248213,598935593,2108797501,62
-274796552,1781369410,-1420971765,-2016067614,1235784616,-1677712903,-976069865,63
-1181467589,-1073607702,1946712127,-1807376179,-766738566,1256160396,-301603450,64
-996154600,1171825650,1847245020,-1988458152,1744301972,-1437961298,-847498842,65
158072109,-1000108670,2146678452,-623236145,817075780,940270903,-848493757,66
1923953468,359667405,-1405667985,-64671044,45563116,-837018047,1354436397,67
170933727,-443948285,1763792240,1436556916,788182615,1447772253,-52610254,68
907314140,606667738,-476280484,73267165,14590123,1121246808,-786606367,69
-1242042726,185569016,-914913431,-1803153718,-1481381863,1938724642,-2099647900,70
1925482029,-723775943,-348247372,-650213112,-1489449015,1044190431,1130893586,71
1287783808,-76453697,1619112855,-1874896275,-1084084786,-1045679673,1657201802,72
327854966,-2125891368,958172923,1713897791,-515307060,1031496350,462605950,73
817228498,1173386682,1863995434,1679985179,7859216,54148145,53535368,74
-1830320072,630943051,1644969694,2128748119,369540087,-1203669655,2026034191,75
415170146,996338652,-2133618901,-1333055821,538763804,1850955042,-205012135,76
1059943983,1164271925,-220632922,126280823,2106667035,-820539947,408785786,77
-1933555432,1532677743,2031071089,1365923472,-994663092,-1085005430,828752549,78
-889619236,-880567665,-1080981958,172472421,1454558150,251971227,-552894830,79
1360207878,1263879512,-618771761,-885577266,-68192615,2121510474,-284797576,80
614149398,1255584669,1514842636,-749660304,1226130103,485917192,-627651758,81
-714207707,557080616,-1560346813,-1506295375,-668886298,1057428389,262371359,82
1307729786,1045211724,2140120133,-667307317,1972552615,2075342784,-495374945,83
-574003094,1379877004,1754390842,1676824439,2089717790,1929056443,574157809,84
-74174354,2045726170,577292415,1823496012,-1178444574,-449274876,1890344809,85
-1323285918,2043862734,1261894306,-1004768525,477723484,606026706,877232461,86
754713756,1854255392,2009467360,1550501821,-1759092765,-1857942961,1434837042,87
-1806342761,-330592744,2091924028,-1638856775,-548357430,-260259909,-1279400577,88
-2111789582,-1481813959,-572282477,-1148831606,-1646137574,-1825440039,-1712694479,89
1181585632,2019065194,1391698593,-403532499,-1421466350,564857761,-970953065,90
1358087698,1518248063,-209337865,1596880381,-613093634,-1773174877,-1813504247,91
385613190,2126743010,197697277,1222725406,118165253,-347262180,-1899224710,92
736594847,2013717391,-1196237268,-102611076,-293435091,165496245,2004667852,93
1990232758,78440084,-1175441148,1988918923,-1258438732,-1299325093,-972108783,94
-508971886,-1752535265,167882280,-1350567916,577578497,-1055503849,101285464,95
-598408627,1081661589,505135474,539820460,561287081,-260153862,-1746319844,96
-2017889386,-120705107,285031921,-748370046,1719985911,1052659475,1475205396,97
2081366095,1116789748,-1740334393,-811957174,-1661628487,549609454,674906581,98
919180705,-630263372,1011431636,1567295690,-651809704,981341536,-1814992391,99
-926692662,-913194246,-1109265501,-117394012,-1453197944,568518382,1309861456,100
