TP_C,TP_D
2,20303
2,20304
2,20305
2,20306
2,20307
2,20308
2,20309
2,20310
2,20311
2,20312
2,20313
2,20314
2,20315
2,20316
2,20317
2,20318
2,20319
2,20320
2,20321
2,20322
2,20323
2,20324
2,20325
2,20326
2,20327
2,20328
2,20329
2,20330
2,20331
2,20332
2,20333
2,20334
2,20335
2,20336
2,20337
2,20338
2,20339
2,20340
2,20341
2,20342
2,20343
2,20344
2,20345
2,20346
2,20347
2,20348
2,20349
2,20350
2,20351
2,20352
2,20353
2,20354
2,20355
2,20356
2,20357
2,20358
2,20359
2,20360
2,20361
2,20362
2,20363
2,20364
2,20365
2,20366
2,20367
2,20368
2,20369
2,20370
2,20371
2,20372
2,20373
2,20374
2,20375
2,20376
2,20377
2,20378
2,20379
2,20380
2,20381
2,20382
2,20383
2,20384
2,20385
2,20386
2,20387
2,20388
2,20389
2,20390
2,20391
2,20392
2,20393
2,20394
2,20395
2,20396
2,20397
2,20398
2,20399
2,20400
2,20401
2,20402
2,20403
2,20404
2,20405
2,20406
2,20407
2,20408
2,20409
2,20410
2,20411
2,20412
2,20413
2,20414
2,20415
2,20416
2,20417
2,20418
2,20419
2,20420
2,20421
2,20422
2,20423
2,20424
2,20425
2,20426
2,20427
2,20428
2,20429
2,20430
2,20431
2,20432
2,20433
2,20434
2,20435
2,20436
2,20437
2,20438
2,20439
2,20440
2,20441
2,20442
2,20443
2,20444
2,20445
2,20446
2,20447
2,20448
2,20449
2,20450
2,20451
2,20452
2,20453
2,20454
2,20455
2,20456
2,20457
2,20458
2,20459
2,20460
2,20461
2,20462
2,20463
2,20464
2,20465
2,20466
2,20467
2,20468
2,20469
2,20470
2,20471
2,20472
2,20473
2,20474
2,20475
2,20476
2,20477
2,20478
2,20479
2,20480
2,20481
2,20482
2,20483
2,20484
2,20485
2,20486
2,20487
2,20488
2,20489
2,20490
2,20491
2,20492
2,20493
2,20494
2,20495
2,20496
2,20497
2,20498
2,20499
2,20500
2,20501
2,20502
2,20503
2,20504
2,20505
2,20506
2,20507
2,20508
2,20509
2,20510
2,20511
2,20512
2,20513
2,20514
2,20515
2,20516
2,20517
2,20518
2,20519
2,20520
2,20521
2,20522
2,20523
2,20524
2,20525
2,20526
2,20527
2,20528
2,20529
2,20530
2,20531
2,20532
2,20533
2,20534
2,20535
2,20536
2,20537
2,20538
2,20539
2,20540
2,20541
2,20542
2,20543
2,20544
2,20545
2,20546
2,20547
2,20548
2,20549
2,20550
2,20551
2,20552
2,20553
2,20554
2,20555
2,20556
2,20557
2,20558
2,20559
2,20560
2,20561
2,20562
2,20563
2,20564
2,20565
2,20566
2,20567
2,20568
2,20569
2,20570
2,20571
2,20572
2,20573
2,20574
2,20575
2,20576
2,20577
2,20578
2,20579
2,20580
2,20581
2,20582
2,20583
2,20584
2,20585
2,20586
2,20587
2,20588
2,20589
2,20590
2,20591
2,20592
2,20593
2,20594
2,20595
2,20596
2,20597
2,20598
2,20599
2,20600
2,20601
2,20602
2,20603
2,20604
2,20605
2,20606
2,20607
2,20608
2,20609
2,20610
2,20611
2,20612
2,20613
2,20614
2,20615
2,20616
2,20617
2,20618
2,20619
2,20620
2,20621
2,20622
2,20623
2,20624
2,20625
2,20626
2,20627
2,20628
2,20629
2,20630
2,20631
2,20632
2,20633
2,20634
2,20635
2,20636
2,20637
2,20638
2,20639
2,20640
2,20641
2,20642
2,20643
2,20644
2,20645
2,20646
2,20647
2,20648
2,20649
2,20650
2,20651
2,20652
2,20653
2,20654
2,20655
2,20656
2,20657
2,20658
2,20659
2,20660
2,20661
2,20662
2,20663
2,20664
2,20665
2,20666
2,20667
2,20668
2,20669
2,20670
2,20671
2,20672
2,20673
2,20674
2,20675
2,20676
2,20677
2,20678
2,20679
2,20680
2,20681
2,20682
2,20683
2,20684
2,20685
2,20686
2,20687
2,20688
2,20689
2,20690
2,20691
2,20692
2,20693
2,20694
2,20695
2,20696
2,20697
2,20698
2,20699
2,20700
2,20701
2,20702
2,20703
2,20704
2,20705
2,20706
2,20707
2,20708
2,20709
2,20710
2,20711
2,20712
2,20713
2,20714
2,20715
2,20716
2,20717
2,20718
2,20719
2,20720
2,20721
2,20722
2,20723
2,20724
2,20725
2,20726
2,20727
2,20728
2,20729
2,20730
2,20731
2,20732
2,20733
2,20734
2,20735
2,20736
2,20737
