L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
1,156,4,1,1700,1795455,4,2,146356532,777177650,35135,35105,35144,749443834,86983390,75898822
1,68,9,2,3600,3485016,9,6,146356532,777177650,35165,35121,35173,862871618,431484053,62603033
1,64,5,3,800,771248,10,2,146356532,777177650,35091,35127,35093,862871618,1001693018,1024902652
1,3,6,4,2800,2528400,9,6,146356532,777177650,35174,35152,35199,106211174,365042431,949624648
1,25,8,5,2400,2220048,10,4,146356532,777177650,35152,35136,35154,106211174,944913022,41768434
1,16,3,6,3200,2931232,7,2,146356532,777177650,35092,35100,35096,749443834,431484053,909628362
2,107,2,1,3800,3826980,0,5,146356532,777177650,35456,35442,35461,862871618,250142940,894083619
3,5,2,1,4500,4072500,6,0,378580043,330563436,34365,34336,34386,106211174,365042431,647289295
3,20,10,2,4900,4508098,10,0,378580043,330563436,34280,34321,34295,862871618,250142940,667742938
3,129,8,3,2700,2778624,6,7,449642453,330563436,34348,34293,34355,749443834,407419891,808837144
3,30,5,4,200,186006,1,6,449642453,330563436,34305,34339,34333,106211174,86983390,492603255
3,184,5,5,2800,3035704,4,0,378580043,330563436,34315,34342,34333,862871618,944913022,84734141
3,63,8,6,2600,2503956,10,2,449642453,330563436,34269,34319,34275,862871618,250142940,175384483
4,89,10,1,3000,2967240,3,8,146356532,777177650,35072,35045,35080,749443834,1001693018,32513563
5,109,10,1,1500,1513650,2,4,378580043,330563436,34636,34575,34656,106211174,365042431,830457533
5,124,5,2,2600,2662712,7,8,378580043,330563436,34621,34600,34624,106211174,944913022,601291040
5,38,4,3,5000,4690150,8,3,449642453,330563436,34552,34618,34570,749443834,365042431,893772133
6,140,6,1,3700,3848518,8,3,449642453,330563436,33719,33737,33724,862871618,86983390,987992796
7,183,4,1,1200,1299816,7,3,146356532,777177650,35190,35135,35217,862871618,944913022,911541681
7,146,3,2,900,941526,8,8,146356532,777177650,35094,35124,35112,862871618,407419891,81775608
7,95,8,3,4600,4577414,10,7,146356532,777177650,35077,35149,35096,785149710,431484053,1045527475
7,164,5,4,2800,2979648,3,4,146356532,777177650,35143,35161,35173,106211174,944913022,940145424
7,152,4,5,3800,3998169,8,1,146356532,777177650,35104,35117,35111,749443834,86983390,612205682
7,80,10,6,3500,3430280,6,3,146356532,777177650,35078,35116,35084,862871618,944913022,464062975
7,158,3,7,500,529075,4,2,146356532,777177650,35103,35148,35106,106211174,944913022,47859270
32,83,4,1,2800,2752624,5,8,146356532,777177650,34993,34936,34996,862871618,86983390,1015304308
32,198,10,2,3200,3514208,2,0,146356532,777177650,34923,34977,34936,785149710,365042431,289343564
32,45,2,3,200,189008,9,2,146356532,777177650,34916,34977,34932,749443834,365042431,1010253260
32,3,8,4,400,361200,9,3,146356532,777177650,34913,34971,34943,106211174,1001693018,758019093
32,86,7,5,4400,4338752,5,6,146356532,777177650,34937,34929,34954,749443834,365042431,252798257
32,12,6,6,600,547206,4,3,146356532,777177650,34899,34963,34903,785149710,250142940,296901992
33,62,7,1,3100,2982386,9,4,449642453,330563436,34269,34320,34279,785149710,86983390,41767008
33,61,8,2,3200,3075392,2,5,449642453,330563436,34310,34336,34329,785149710,431484053,317922828
33,138,4,3,500,519064,5,3,449642453,330563436,34310,34326,34324,862871618,365042431,259650566
33,34,5,4,4100,3829523,9,0,378580043,330563436,34280,34356,34282,862871618,431484053,189448015
34,89,10,1,1300,1285804,0,7,146356532,777177650,36089,36050,36103,106211174,1001693018,220807792
34,90,1,2,2200,2178198,8,6,146356532,777177650,36075,36082,36078,106211174,944913022,540222094
34,170,7,3,600,642102,2,6,146356532,777177650,36096,36056,36102,106211174,944913022,870401728
35,1,4,1,2400,2162400,2,0,146356532,777177650,35114,35065,35140,862871618,944913022,45197442
35,162,1,2,3400,3611344,6,8,146356532,777177650,35084,35068,35089,749443834,250142940,877056004
35,121,4,3,700,714784,6,4,146356532,777177650,35081,35053,35091,106211174,431484053,719996289
35,86,7,4,2500,2465200,6,5,146356532,777177650,35027,35056,35052,749443834,407419891,362911748
35,120,7,5,3400,3468408,8,6,146356532,777177650,35009,35077,35027,785149710,431484053,239571949
35,31,7,6,2800,2606884,3,2,146356532,777177650,35094,35055,35121,785149710,250142940,493489460
36,120,1,1,4200,4284504,9,0,146356532,777177650,35096,35083,35116,785149710,407419891,972245779
37,23,8,1,4000,3692080,9,3,449642453,330563436,33804,33815,33829,106211174,1001693018,606914632
37,127,6,2,3900,4005768,5,2,449642453,330563436,33785,33832,33811,862871618,250142940,132205644
37,13,7,3,4300,3925943,5,8,449642453,330563436,33793,33789,33816,749443834,86983390,1037140671
38,176,5,1,4400,4735148,4,2,146356532,777177650,35335,35384,35336,785149710,431484053,195783623
39,3,10,1,4400,3973200,9,6,146356532,777177650,35381,35412,35409,785149710,250142940,131106644
39,187,8,2,2600,2826668,8,4,146356532,777177650,35371,35356,35387,106211174,944913022,598440024
39,68,3,3,4600,4453076,6,8,146356532,777177650,35332,35416,35362,749443834,365042431,758123178
39,21,6,4,3200,2947264,7,5,146356532,777177650,35338,35416,35350,785149710,431484053,246989535
39,55,10,5,4300,4106715,1,1,146356532,777177650,35353,35381,35362,785149710,431484053,379762846
39,95,7,6,4000,3980360,6,5,146356532,777177650,35405,35358,35429,785149710,365042431,733294125
64,86,7,1,2100,2070768,5,2,378580043,330563436,34605,34593,34631,749443834,1001693018,823687685
65,60,5,1,2600,2496156,3,3,449642453,330563436,34807,34812,34830,106211174,86983390,856996827
65,74,3,2,2200,2142954,0,5,146356532,777177650,34895,34852,34897,785149710,944913022,661863703
65,2,5,3,2100,1894200,9,7,146356532,777177650,34884,34831,34909,749443834,250142940,848584724
66,116,10,1,3100,3149941,0,8,378580043,330563436,34382,34402,34383,862871618,250142940,968735828
66,174,5,2,4100,4404097,4,7,449642453,330563436,34384,34392,34409,785149710,365042431,932542105
67,22,5,1,400,368808,9,4,146356532,777177650,35535,35459,35538,106211174,407419891,153229807
67,21,10,2,1200,1105224,9,5,146356532,777177650,35455,35480,35481,106211174,1001693018,467774314
67,174,4,3,500,537085,3,7,146356532,777177650,35479,35471,35480,749443834,86983390,176555000
67,88,9,4,4400,4347552,8,6,146356532,777177650,35505,35457,35531,749443834,250142940,973498191
67,41,10,5,2300,2164392,5,7,146356532,777177650,35537,35473,35554,749443834,1001693018,809432268
67,179,9,6,2900,3129593,2,5,146356532,777177650,35453,35455,35455,749443834,944913022,341460217
68,8,1,1,300,272400,5,2,146356532,777177650,35978,35949,35995,106211174,250142940,275482081
68,176,4,2,4600,4950382,2,5,146356532,777177650,35970,35951,35979,106211174,431484053,923693217
68,35,1,3,4600,4301138,4,5,146356532,777177650,36018,35982,36034,106211174,250142940,576427679
68,95,9,4,2000,1990180,7,1,146356532,777177650,35971,35936,35976,106211174,1001693018,379973405
68,83,4,5,2700,2654316,3,6,146356532,777177650,35963,35969,35973,749443834,407419891,840087308
68,103,6,6,3000,3009300,5,6,146356532,777177650,36016,35985,36019,106211174,250142940,649938203
68,140,6,7,4100,4264574,9,8,146356532,777177650,35968,35971,35980,106211174,407419891,166064493
69,116,10,1,4800,4877328,1,7,449642453,330563436,34561,34555,34583,106211174,86983390,53740253
69,105,10,2,3200,3216320,8,6,449642453,330563436,34568,34561,34575,106211174,1001693018,660961569
69,138,4,3,1700,1764821,9,0,449642453,330563436,34515,34520,34516,862871618,365042431,305525252
69,38,9,4,300,281409,9,4,378580043,330563436,34489,34540,34498,106211174,431484053,948234142
69,93,6,5,4200,4170978,7,4,378580043,330563436,34544,34539,34572,749443834,1001693018,207198439
69,19,3,6,2300,2113723,5,0,449642453,330563436,34608,34550,34629,106211174,407419891,132842238
70,65,2,1,800,772048,3,8,378580043,330563436,34344,34390,34346,862871618,944913022,240160102
70,197,10,2,1300,1426347,6,6,449642453,330563436,34394,34376,34417,785149710,365042431,683835136
70,180,8,3,100,108018,3,5,378580043,330563436,34358,34396,34360,862871618,250142940,926388786
70,46,9,4,1100,1040644,1,5,449642453,330563436,34408,34408,34418,106211174,431484053,577862594
70,38,9,5,3700,3470711,9,4,378580043,330563436,34376,34407,34384,785149710,431484053,23608385
70,56,8,6,1900,1816495,6,3,449642453,330563436,34358,34380,34369,862871618,407419891,224453187
71,62,3,1,2500,2405150,9,7,146356532,777177650,35893,35905,35894,785149710,944913022,238879605
71,66,1,2,300,289818,9,7,146356532,777177650,35936,35886,35946,785149710,407419891,886597415
71,35,1,3,4500,4207635,0,7,146356532,777177650,35847,35872,35876,749443834,407419891,734907157
71,97,9,4,3300,3290397,0,1,146356532,777177650,35895,35872,35898,106211174,944913022,250344245
71,104,7,5,3900,3915990,8,6,146356532,777177650,35822,35890,35842,749443834,250142940,529808927
71,196,9,6,3400,3727046,4,1,146356532,777177650,35857,35905,35882,749443834,86983390,641949235
96,124,7,1,2300,2355476,10,6,449642453,330563436,34532,34512,34538,749443834,86983390,467813683
96,136,7,2,3000,3108390,1,6,378580043,330563436,34486,34481,34505,749443834,86983390,21329440
97,120,4,1,1300,1326156,0,2,378580043,330563436,34058,34061,34065,106211174,86983390,642569081
97,50,7,2,3700,3515185,2,6,449642453,330563436,34070,34056,34071,749443834,407419891,974570255
97,78,6,3,1900,1858333,6,8,378580043,330563436,34101,34031,34112,862871618,250142940,1038473290
98,41,2,1,2800,2634912,6,7,449642453,330563436,34690,34630,34713,785149710,1001693018,525658321
98,110,7,2,100,101011,0,0,449642453,330563436,34667,34678,34681,749443834,86983390,981678342
98,45,6,3,1400,1323056,5,2,449642453,330563436,34696,34658,34724,785149710,365042431,563210860
98,168,9,4,1000,1068160,3,3,449642453,330563436,34628,34644,34645,785149710,250142940,503514793
99,88,9,1,1000,988079,2,1,449642453,330563436,34470,34486,34475,785149710,250142940,453930383
99,124,5,2,500,512060,2,7,378580043,330563436,34458,34480,34472,862871618,250142940,927920660
99,135,1,3,4200,4347546,2,2,449642453,330563436,34441,34470,34442,106211174,250142940,977783448
99,109,2,4,3600,3632760,9,2,449642453,330563436,34517,34439,34543,749443834,365042431,134028994
100,63,4,1,2800,2696568,4,5,146356532,777177650,35921,35926,35951,785149710,86983390,837144972
100,116,10,2,2200,2235442,0,7,146356532,777177650,35968,35895,35973,749443834,407419891,833611073
100,47,4,3,4600,4356384,3,4,146356532,777177650,35915,35893,35935,862871618,407419891,1045398435
100,39,10,4,1400,1314642,6,3,146356532,777177650,35935,35914,35947,785149710,431484053,309803000
100,54,6,5,3700,3529985,5,0,146356532,777177650,35858,35899,35883,862871618,86983390,669593247
101,119,9,1,4900,4993639,10,0,146356532,777177650,35235,35210,35243,749443834,1001693018,328601604
