N_NATIONKEY,N_NAME,N_REGIONKEY,N_COMMENT
0,459122625,0,871865262
1,552876025,1,27972578
2,630228739,1,503977009
3,182389460,1,1053775905
4,482282708,4,352699394
5,602460196,0,111994890
6,425098999,3,413040715
7,1053776828,3,719581161
8,470235225,2,980691069
9,528250961,2,570123827
10,195687749,4,713160203
11,325988832,4,354400037
12,936248220,2,985837626
13,490328300,4,661935477
14,585821937,0,948332620
15,606096708,0,499023098
16,1059239053,0,208545861
17,269881314,1,165954908
18,946537970,2,836227405
19,248390230,3,171997777
20,3089214,4,484588526
21,953416133,2,184507952
22,136026221,3,241396718
23,394914245,3,412160758
24,811717020,1,365710773
