P1_P_PARTKEY,P1_P_NAME,P1_P_MFGR,P1_P_BRAND,P1_P_TYPE,P1_P_SIZE,P1_P_CONTAINER,P1_P_RETAILPRICE,P1_P_COMMENT
1,118385972,119630363,874250391,875838945,7,478264760,90100,1065823369
2,807037427,119630363,874250391,766427479,1,933592180,90200,520267978
3,509878971,769378664,907834889,673944718,21,157931518,90300,331226552
4,728953376,636734202,645096753,933659093,14,661352075,90400,355863097
5,886574316,636734202,92540590,346507224,15,358456330,90500,784561753
6,312911103,358198320,533813379,453561333,4,778442747,90600,1024215909
7,469775222,119630363,100627142,1067412090,45,950309306,90700,3555812
8,155721148,769378664,136548634,314681012,41,244966167,90800,405040307
9,843504670,769378664,323945030,967436704,12,157931518,90900,468827957
10,800754423,572414757,606029594,466715267,44,951436719,91001,355841913
11,296215397,358198320,149312461,580013018,43,633393698,91101,806182678
12,426049557,636734202,461996362,145719540,25,414053841,91201,1014849304
13,428647686,572414757,474336000,454651936,1,881407782,91301,133616985
14,813186086,119630363,874250391,518605273,28,969584240,91401,121108776
15,195689937,119630363,724565089,211230296,45,933592180,91501,244361187
16,211396879,636734202,92540590,154724362,2,150861774,91601,905979306
17,364507211,769378664,323945030,147979726,16,58170374,91701,884027067
18,111526853,119630363,100627142,967436704,42,881407782,91801,665789071
19,20071719,358198320,835727822,602193411,33,633393698,91901,21763927
20,656184891,119630363,805174136,922606174,48,778442747,92002,141364841
21,902899238,636734202,461996362,721449059,31,778442747,92102,213159803
22,1011551535,769378664,323945030,243251345,19,244966167,92202,963117170
23,970287460,636734202,912325741,217336653,42,862246538,92302,760805562
24,995112974,572414757,941774389,361008659,20,442629192,92402,602252197
25,84828020,572414757,474336000,743324822,3,914094596,92502,378088038
26,1056285133,636734202,92540590,903722543,32,685251842,92602,305139165
27,107059012,119630363,87904542,917505307,20,537974151,92702,582294294
28,952336789,769378664,136548634,1067412090,19,478264760,92802,814231654
29,806147217,636734202,461996362,240866317,7,244966167,92902,249271274
30,857569158,769378664,907834889,565302581,17,58170374,93003,782896109
31,997598465,572414757,1017314817,164223055,10,439432863,93103,547225781
32,827975038,769378664,907834889,199004570,31,933592180,93203,628995418
33,874497931,358198320,204013689,541259438,16,132859125,93303,454958815
34,656133558,119630363,874250391,806151297,8,969584240,93403,153543379
