S_SUPPKEY,S_NAME,S_ADDRESS,S_NATIONKEY,S_PHONE,S_ACCTBAL,S_COMMENT
1,307582179,1007098031,17,706434287,575594,1024201384
2,150638168,984141654,5,213899063,403268,368215258
3,1048538654,1015619697,1,314782373,419239,562007755
4,958683663,881315511,15,920930787,464108,1001068623
5,543562219,737509788,11,150566524,-28383,563828715
6,9227438,405957604,14,575965349,136579,1053857819
7,562466565,460517180,23,632045995,682035,602578881
8,251585516,432621110,17,801101921,762785,452412390
9,607825543,242055253,10,522646020,530237,146721776
10,802374906,1034671922,24,850520776,389191,987694928
11,536472396,465118490,18,807802521,339308,509918723
12,130623361,277957899,8,23295074,143269,687670849
13,953565996,924493204,3,313407293,910721,819341941
14,418064624,282546179,15,177916452,918982,832385233
15,673180437,680504465,8,741349135,30856,1066520198
16,565662909,738507965,22,407523941,297226,564230629
17,128292800,301417370,19,441598447,168781,22115281
18,1028057923,61630154,16,577273017,704082,830990908
19,87962093,419183106,24,958817920,615038,258257530
20,672752550,993000781,3,161267073,53082,367040370
21,505945863,848886691,2,507349333,936579,358698910
22,586192556,681390193,4,583819110,-96620,126369754
23,74933708,325252424,9,788851147,592641,847191724
24,984231786,985445796,0,424289908,917070,467245746
25,63230308,619415378,22,631890173,919831,226896415
26,694691925,243404712,21,828334311,2118,604236061
27,1025982262,578220297,18,463958594,188762,555918352
28,571981964,795021852,0,765409449,-89199,186847813
29,577806049,881286935,1,548713394,-81162,473383181
30,766089131,800804507,16,145681920,808014,454383542
31,1056111594,391409563,16,47298445,591691,167980716
32,14039694,763074698,23,902914619,355647,856215001
33,752572549,958072339,7,778744326,856412,691810467
34,927886880,1022970627,10,98300694,23731,233384113
35,557285925,962761027,21,211496118,438141,219938284
36,814537743,722437124,13,387326854,237151,529567831
37,615763982,1062984368,0,993351618,301747,953962483
38,396724264,209030062,4,671727071,251241,684446894
39,377609462,77266986,8,801115944,611565,1061250049
40,701876780,1002028466,22,487616310,-29006,925707164
41,567414787,1057348659,18,630143003,694267,946772563
42,930608603,563909212,22,1070315173,656511,59803521
43,1062615759,633133749,12,453328629,777341,1020797685
44,33749523,469958827,7,551694606,975937,984743508
45,613618466,317241233,9,800486288,294423,690318028
46,947192032,670819620,24,605706331,358035,261328590
47,674083007,867197884,14,948886928,295809,161522444
48,409830604,966969039,14,864657725,563062,1006923218
49,1019181816,891674747,24,532886130,991524,302099949
50,907483628,249998274,9,898310412,451587,323781347
51,93273751,701393034,9,58155992,724140,388619631
52,1025702923,538183154,19,496283141,28716,194787649
53,826382091,889368578,7,600256180,617735,465982977
54,84345104,272700335,12,911466513,273369,482757966
55,469588621,1019249659,24,511749509,716215,299992520
56,830040775,558060685,16,572311936,-63216,948287494
57,302110056,447743852,17,538755095,-83107,31822942
58,376858433,881075953,16,958122282,9244,1032461674
59,707480465,134785528,17,558162686,58616,749476407
60,563424998,289495275,8,259176175,451580,989607005
61,180961099,108570046,8,699586773,609658,268822473
62,603783969,824863841,19,962542384,920257,421736683
63,540903376,574329495,5,935619726,574203,372908611
64,454217457,403506890,24,738524253,130970,665338921
65,685613876,472347976,22,431109965,-96379,519630437
66,183901750,687320024,23,945744188,245598,425347587
67,794196032,978524036,4,1019710096,357655,174232501
68,759163324,16743554,21,248710392,511938,83442921
69,151207396,1066763111,4,121542501,846650,245767387
70,309889328,913634134,6,951295756,950837,338971346
71,45196318,356910440,1,33096999,817968,1058194076
72,732851887,173237614,18,292788786,701450,802731378
73,455978435,649486802,16,890302842,379313,222267450
74,68678287,16815366,20,192149316,417051,873977554
75,797153001,816219323,18,1017178371,-22484,541198465
76,892832214,312422916,14,365282906,297110,185549376
77,376442010,49341703,7,453645642,418695,334496328
78,513686330,877773389,5,100035083,104409,496637779
79,1066757166,386783966,14,827923716,119194,452387990
80,616650938,201165077,21,348402214,-4045,311779048
81,933992371,32635421,12,505829373,16632,250392999
82,52748547,828725631,18,253599190,-72431,601843858
83,942054341,472098578,14,138889645,146777,430482641
84,415922488,920156654,24,492217638,478093,167939074
85,510899283,951872610,7,189063444,717474,441814115
86,853476391,89287722,19,418843566,188337,345645397
87,840276345,100926080,24,983040641,474666,595510987
88,1049894453,760289554,11,1003721141,308613,688202884
89,424375220,990871978,9,381874157,163802,385798623
90,1072429630,304737984,6,591317872,620177,794552169
91,897583887,283473412,3,199910311,625587,821639261
92,178406656,955557038,2,912452218,247084,468511401
93,126409322,799984308,16,9450787,36876,378788600
94,705231060,558437048,4,453178077,276680,664655102
95,1069040633,602102998,19,646800830,258883,776171548
96,153549950,350727028,12,952272875,343724,575372659
97,300082229,572906026,4,188337868,664222,30185866
98,271391967,887889698,21,165315587,587307,453687184
99,154502555,528072681,18,751792138,367134,532346015
100,298112689,488697035,21,497082876,319170,1062257979
