U1_USERKEY,U1_INDEG,U1_OUTDEG,U1_ACTIVITY,U1_JOINDATE
4,194,5,199,54876
107,0,0,0,71305
167,1,0,1,55027
439,30,10,40,36881
457,2,3,5,55133
510,72,1,73,55118
531,92,0,92,73123
541,9,3,12,56125
621,4,1,5,77424
722,1,2,3,63928
783,3,1,4,79015
786,2,3,5,44586
1054,0,0,0,39208
1118,5,4,9,77230
1126,0,1,1,59698
1147,0,3,3,74471
1160,3,3,6,73860
1262,15,2,17,85445
1358,3,2,5,65109
1359,3,2,5,65062
1379,1,2,3,65132
1386,3,2,5,64490
1400,5,2,7,57999
1551,9,1,10,65117
1694,2,3,5,85685
1711,5,1,6,85984
1805,16,6,22,70242
1825,0,1,1,55482
1912,4,2,6,43348
2149,3,2,5,34125
2173,15,3,18,84067
2298,11,7,18,62237
2303,2,1,3,34371
2325,2,3,5,79929
2374,3,4,7,56863
2426,4,6,10,81863
2517,20,15,35,85731
2733,5,3,8,3908
2912,1,1,2,39084
3066,8,4,12,8576
3172,0,1,1,44375
3248,0,0,0,61895
3369,491,3,494,65963
3546,1,0,1,18456
3604,124,9,133,62646
3624,0,1,1,57846
3636,1,1,2,58527
3919,4,5,9,73797
3933,0,1,1,62852
4310,4,8,12,75287
4319,0,4,4,55208
4394,5,3,8,58368
4412,28,4,32,78442
4475,10,3,13,67926
4519,2,2,4,66213
4582,2,2,4,61516
4665,51,18,69,2064
4798,1,1,2,73327
4804,0,1,1,73597
4884,2,2,4,72440
5021,5,5,10,68301
5087,14,17,31,76946
5114,10,4,14,71971
5123,35,9,44,58906
5157,6,1,7,77838
5192,8,0,8,63603
5310,0,0,0,71960
5393,19,1,20,1863
5444,0,0,0,15388
5506,0,1,1,73746
5695,3,2,5,70435
5899,4,1,5,55624
6053,9,2,11,75147
6078,31,4,35,57007
6269,2,3,5,55517
6338,15,7,22,48478
6443,0,0,0,66740
6551,0,2,2,73356
6645,28,19,47,9872
6658,31,11,42,13064
6669,17,12,29,8491
6672,21,3,24,11843
6677,19,4,23,22490
6692,18,18,36,23947
6701,21,20,41,12052
6704,8,26,34,37459
6708,8,13,21,20114
6835,4,3,7,56806
6982,13,17,30,60818
6999,3,2,5,55025
7185,2,1,3,70531
7245,0,0,0,58343
7394,5,3,8,55027
7617,1,1,2,75509
7684,1,1,2,82328
7801,10,8,18,77958
7856,4,4,8,55951
8497,11,1,12,78767
8633,0,2,2,85759
8702,13,2,15,71341
8755,26,2,28,73048
8760,0,0,0,78923
8794,1,0,1,71573
8897,2,3,5,71918
8966,3,24,27,69401
9131,0,1,1,56617
9208,14,4,18,25547
9229,2,2,4,7802
9231,12,1,13,10158
9288,4,1,5,50838
9324,1,2,3,73781
9351,7,2,9,58292
9514,2,7,9,77983
9951,20,20,40,69062
10053,9,1,10,44670
10091,3,2,5,73168
10168,8,6,14,74301
10179,18,13,31,46374
10241,3,7,10,29526
10269,3,0,3,54890
10273,6,9,15,82009
10284,4,10,14,1230
10335,6,12,18,21843
10343,1,5,6,29636
10367,2,2,4,10570
10381,6,10,16,23116
10945,5,7,12,63090
10950,2,2,4,63560
11029,6,2,8,48935
11047,0,2,2,38975
11050,9,4,13,47873
11135,6,5,11,43276
11223,0,1,1,45920
11256,6,5,11,57044
11516,3,3,6,53771
11744,1,2,3,73323
11876,33,15,48,69557
11962,4,3,7,83286
11978,3,2,5,71032
11992,1,1,2,73220
12042,4,4,8,71238
12510,8,0,8,20609
12580,0,1,1,66082
12641,7,2,9,68368
12692,0,3,3,83490
12751,84,18,102,57592
12792,0,1,1,77935
12843,2,4,6,73951
12879,5,4,9,83269
12891,20,0,20,80053
13013,2,0,2,58438
13123,32,18,50,27021
13405,0,0,0,85694
13537,0,0,0,65230
13578,0,0,0,74464
13790,13,8,21,29797
13808,62,13,75,32392
13815,0,1,1,74640
13968,1,3,4,59389
14054,0,1,1,55271
14164,2,2,4,43661
14170,4,3,7,73143
14333,0,1,1,73188
14368,2,2,4,57675
14375,1,1,2,76341
14517,1,1,2,55674
14544,1,1,2,73431
14570,17,1,18,71306
14825,4,1,5,32436
14966,0,0,0,83132
15508,3,3,6,16734
15717,2,4,6,68953
15885,16,1,17,67416
15911,2,1,3,85704
16016,7,6,13,57043
16022,4,0,4,64999
16091,13,1,14,15211
16304,3,6,9,55577
16309,0,1,1,72874
16363,0,1,1,58799
16431,7,7,14,68799
16433,1,1,2,70155
16528,7,5,12,71527
16578,4,4,8,62316
16649,118,2,120,59439
16770,6,5,11,40196
16801,9,12,21,20364
16869,1,1,2,71454
16936,2,5,7,57044
16970,7,7,14,43526
17172,2,0,2,17273
17183,2,1,3,62489
17244,1,4,5,81765
17283,1,1,2,37770
17513,1,1,2,64104
17520,3,4,7,56046
17561,0,2,2,58638
17600,0,2,2,52592
18057,6,1,7,58155
18270,0,1,1,55284
18506,16,11,27,53917
18602,0,0,0,85984
18626,4,8,12,3406
18665,2,4,6,55607
18852,0,1,1,66131
18861,0,1,1,56646
18895,3,2,5,78553
18906,2,3,5,74168
18966,1,4,5,34448
18973,0,1,1,73908
18975,0,1,1,69567
18987,0,1,1,49155
19048,3,2,5,58618
19113,0,0,0,58284
19295,0,1,1,59643
19335,0,1,1,59231
19535,1,1,2,71498
19640,2,2,4,51782
19643,1,1,2,52880
19827,0,1,1,61438
19860,1,2,3,73336
20031,1,1,2,58020
20327,4,2,6,74404
20358,7,0,7,48143
20411,0,0,0,81271
20457,0,1,1,81783
20488,1,3,4,57065
20849,1,0,1,64721
21006,2,4,6,33844
21565,2,2,4,75218
21608,1,2,3,74506
21730,0,0,0,72537
