F2_FOLLOWER,F2_FOLLOWED
107,131
228,232
228,233
228,88
28,2149
28,88
28,2171
28,2173
28,2175
28,2177
28,2180
4069,88
4069,531
4619,1579
4619,5087
4619,4665
4619,5114
4619,3972
4619,5122
4619,5123
4619,2940
4619,502
4619,505
4619,5137
4619,5143
4619,2173
4619,5155
4619,5157
4619,5163
3262,4407
3262,5265
3262,88
3262,492
3262,502
3262,3604
3262,5281
3262,2417
621,5695
621,5753
6130,1276
6130,6520
7257,4
7257,7259
7257,7271
8591,8592
8591,8755
8591,8760
8591,8794
8591,8811
8591,502
8591,8846
8591,8855
8591,8864
8591,2696
8591,8897
8591,8903
8591,2417
8591,8966
8591,8992
8591,9011
8591,9021
8591,9036
2149,28
2149,9304
2149,9305
2149,9311
2149,9312
2149,88
2149,3604
2149,9324
2149,2177
4,368
4,2303
4,1455
4,1357
4,1945
4,1118
4,1379
4,1142
4,88
4,308
4,1170
4,9672
4,1551
4,492
4,9681
4,5899
7882,88
8592,88
8592,10816
8592,10817
8592,8992
8592,9036
1309,4
1309,11622
6882,637
6882,657
6882,11264
6882,11656
6882,2753
6882,11677
6882,3013
6882,11692
6882,4381
12580,3369
12619,4
12619,389
12619,502
12619,832
12619,71
12619,1999
12619,2417
1579,4619
1579,4
1579,13315
1579,6104
1579,308
1579,13354
1825,4
1825,1276
14368,4
14368,14375
14966,88
16363,4
16514,14543
16514,8702
16514,6940
16514,4884
16514,8711
16514,14064
16514,7551
16514,14570
16514,2940
16514,16528
16514,16536
16514,14615
16514,16547
16514,16549
16721,16723
19143,8711
19143,7551
19143,14611
19143,14615
16901,4
16901,2426
16901,9417
16901,1276
16901,88
16901,1170
16901,15489
16901,19431
16901,580
19827,4
12038,4
12038,20457
12038,1958
12038,1276
12038,88
12038,308
12038,5851
12038,510
12038,832
22343,88
22343,22345
22446,2426
22446,1694
22446,22450
22446,22455
22446,308
22446,22458
22446,18309
22446,22463
22446,885
22446,5137
23221,23227
2294,4
2294,1262
2294,438
2294,1379
2294,1170
2294,3369
23610,4
23610,722
23610,10945
23610,10950
23610,23616
23610,3584
23610,783
23610,88
23610,23635
23610,510
23610,23642
23610,3919
23610,23665
22346,4
22346,2417
22346,12281
23913,88
24759,1262
25024,308
25024,510
17748,21565
17748,88
17748,23713
25628,25631
25988,15013
25988,16429
697,505
697,7457
26238,550
26238,71
26238,2417
26238,26251
11530,4
11530,7377
11530,9731
11530,11981
11530,1276
11530,88
11530,5226
11530,16801
11530,15489
11530,23866
11530,26078
11530,19604
11530,27045
11530,26153
11530,13811
11530,12462
11530,16824
11530,27081
11530,12281
27176,4
722,23610
722,23120
722,308
722,27349
6184,6193
6184,1262
6184,25168
6184,27474
6184,27475
637,6882
637,4381
723,4
723,4718
723,769
723,19862
28446,4
28446,1357
28446,1276
28446,28462
28446,88
28446,19048
28446,531
28446,26153
28446,2417
28446,28529
28446,28539
7377,4
7377,11530
7377,368
7377,2426
7377,28757
7377,9514
7377,1276
7377,16429
7377,88
7377,9672
7377,16766
7377,23318
7377,28390
7377,502
7377,28794
7377,16649
7377,3013
7377,28801
7377,28806
7377,2746
7377,28820
4718,4
4718,5310
4718,723
4718,389
4718,4310
4718,5189
4718,461
4718,19862
4718,28951
4718,308
4718,4514
4718,11336
4718,28958
4718,28962
4718,23318
4718,28964
4718,492
4718,4528
4718,6081
4718,510
4718,511
4718,28977
4718,3603
4718,24629
4718,16772
4718,28993
4718,19178
4718,29010
4718,29012
4718,2417
4718,29021
4718,9107
18270,4
18270,308
18270,15976
29698,88
29698,531
368,4
368,461
368,19862
368,308
368,71
31239,26762
31239,1945
31239,308
31239,510
31239,885
31239,531
30660,4
30660,8755
30660,6963
30660,18223
2944,2298
2944,5265
2944,6072
2944,1262
2944,15717
2944,26757
14825,389
14825,2369
14825,11176
14825,461
14825,88
14825,5226
14825,14166
14825,11336
14825,71
14825,13798
14825,2417
14825,10179
14825,9107
32495,621
32495,1455
32495,2417
32495,167
2298,2944
2298,2301
2298,32772
2298,1694
2298,4582
2298,1262
2298,5114
2298,16431
2298,25742
2298,32780
2298,14392
32967,6940
32967,7551
32967,14615
33051,33057
33051,19837
33051,29417
33051,33068
33051,33097
33051,20716
33051,11516
33051,33136
33051,33140
33051,33142
33512,33513
33512,33514
12042,7856
12042,25661
12042,4346
12042,33548
