FO_FROM,FO_TO
621,5695
2149,3604
2149,9324
4,2303
4,1118
4,1379
4,1551
4,5899
12580,3369
1825,4
14368,4
14368,14375
16363,4
19827,4
23610,4
23610,722
23610,10945
23610,10950
23610,23616
23610,783
23610,510
23610,3919
25024,510
26238,26251
722,23610
722,23120
18270,4
14825,10179
2298,32772
2298,1694
2298,4582
2298,1262
2298,5114
2298,16431
2298,32780
12042,7856
12042,25661
12042,33548
12042,33551
33962,4
5695,621
5695,4
8633,2149
8633,4
41378,3369
41378,16649
2426,4
2426,42137
2426,2325
2426,1118
2426,1551
2426,40176
19335,4
44119,4
44119,37318
44119,38602
44119,22814
2303,4
32772,2298
32772,1262
33833,4665
33833,50218
33833,50219
33833,50222
33833,3604
33833,50231
33833,2173
33833,50241
33833,26092
33833,50266
33833,38819
33833,50295
6982,2374
6982,47460
6982,4412
6982,6078
6982,26072
6982,50910
6982,13123
6982,12751
6982,13808
6982,18506
6982,35184
6982,50952
6982,50962
6982,23976
6982,37001
6982,23979
6982,24215
8755,28107
8755,33849
42311,531
52944,4
53144,4
7394,4
7394,9514
7394,28390
1694,2298
1694,1711
1694,1262
21565,50353
21565,38204
28107,8755
28107,1118
28107,26043
31082,8755
39606,53613
39606,63144
20457,2173
23116,12641
23116,65032
4582,65644
4582,1262
14544,8702
36950,4
63386,8702
37308,5393
37308,62353
51682,14570
71133,19535
27357,4
10945,14368
10945,23610
10945,10950
10945,7801
10945,66917
10945,77457
10945,77464
78109,58870
11256,51853
11256,6078
11256,36521
11256,79185
11256,30096
70408,63644
70408,4475
11029,6078
11029,11050
50353,21565
50353,21608
50353,23713
4310,47309
4310,8702
4310,7617
4310,14170
4310,3369
4310,541
4310,2173
4310,4394
82781,4
82781,16578
24593,4
14054,510
87889,87890
63644,70408
63644,4475
77346,4
89922,16649
90366,3369
90366,510
90366,16649
30671,4
30671,531
65644,2298
65644,4582
65644,1262
65644,1400
50862,92219
85847,4
27959,4
93596,93601
64528,4
64528,26486
11744,4
11744,531
95455,4
96537,42180
45677,4
45677,1262
72388,6053
72388,27676
47309,4310
58488,4
97301,4
97301,99364
42119,4
42119,3604
22743,4
73371,4
73371,7801
18966,5393
18966,94830
18966,5899
18966,64965
101238,39124
101238,3604
101238,12751
101238,67382
1358,1359
1358,1386
62551,94062
7856,4
7856,12042
7856,25661
7856,33551
1359,1358
1359,1386
6338,4
6338,6269
6338,28548
6338,28383
6338,66383
6338,40973
6338,93171
71485,8702
71485,104057
29963,4
8702,14544
8702,33360
35207,31961
35207,35209
35207,531
35207,103787
105363,510
5087,4665
5087,50219
5087,28548
5087,80084
5087,5123
5087,51853
5087,27484
5087,3604
5087,531
5087,75083
5087,13790
5087,5157
5087,106209
5087,106211
5087,70301
5087,106217
5087,106221
9514,4
9514,7394
9514,6999
9514,1118
9514,4475
9514,5899
9514,16649
106644,4
106644,3369
18973,531
108380,52730
108380,510
108380,108383
18975,4
42137,4
42137,2426
42137,26486
42137,5899
1711,1694
28245,6645
28245,28390
28245,531
6269,4
6269,6338
6269,51856
23284,82861
71246,531
71246,4798
94062,62551
94062,113135
94062,95835
52322,4
52322,11978
52322,74936
102804,4
117051,510
1262,2298
1262,15911
6999,4
6999,16869
118513,116633
118513,118514
118513,57434
43939,50315
119282,4
119282,3604
119282,38327
10950,23610
10950,10945
120131,80818
53575,4
53575,16801
53575,92274
53575,46733
53575,89805
53575,39885
53575,12751
53575,13808
53575,26092
53575,39889
3172,65187
