RE2_FROM,RE2_TO
223789,213163
184615,364376
364376,184615
325916,325915
325916,325915
205864,244881
300856,18038
203358,42514
149403,235556
196145,6695
424732,677
197061,197061
33833,50231
50231,33833
9229,3066
150805,8425
321340,321341
165978,2288
174754,2288
186184,70301
437786,226803
70301,186184
196130,47499
62086,45382
182039,74294
376344,376345
296120,296119
285914,228311
105363,105364
75467,75458
15508,21543
75467,75458
17172,85199
198298,294737
430150,265187
294547,241786
10381,162765
10381,162765
149268,295866
27381,50196
295866,149268
166682,48526
199693,121293
378115,137174
29343,21203
50512,192414
305865,152912
61142,218973
375960,375961
13790,8209
35170,121433
50962,47666
13808,92274
164745,14825
14825,164745
93314,39089
198128,7117
206392,129505
439,13808
92274,13808
95848,6704
378115,137174
6704,6674
6704,6674
376345,376344
32806,4129
11047,67260
1054,720
324955,324955
64413,153760
111821,38432
255320,176054
317866,3393
152500,677
122106,279929
28829,216
395476,220
223818,3549
223143,157500
373751,332060
122729,14721
375960,375961
11223,17871
80084,80077
118365,6790
178337,216
10179,9903
319542,253094
432624,677
242386,258313
396668,396669
447633,447398
266557,189779
396669,396668
189779,266557
76273,29756
447633,447398
260375,288408
288408,260375
270513,677
9288,9288
122939,677
114456,349
174346,174346
128623,40684
343201,100414
104541,42170
26072,37001
244043,26755
245202,19
77768,77778
37657,26486
37001,17145
122087,122102
181364,26486
2374,44543
89619,216
97293,70037
12751,89805
36810,77616
433378,433379
77616,36810
279207,330171
4394,158097
99707,38790
57721,764
93279,121466
158097,4394
140089,4974
433329,88
379097,677
271518,50434
422848,68686
84953,4974
129924,28390
414163,677
77864,22240
443450,443450
17183,347845
265367,3369
327844,67774
433476,211431
140422,43577
22502,26486
260997,279602
264646,187393
151045,2177
44524,40864
124110,16527
377839,8
279602,260997
17513,116002
152912,305865
132847,316003
261698,261212
261212,261698
20849,72135
72135,20849
16022,39423
1379,1551
101550,67384
282758,241066
36521,293801
125419,290304
230462,510
199845,117037
249143,26486
187094,220
318636,318635
6443,57654
23116,12641
165573,4730
217029,260344
135079,193932
25018,5021
280814,414939
411554,250519
81602,250519
329815,220
243282,68285
12641,23116
251497,96660
38327,3547
264285,147068
430142,3369
23214,110903
24658,179622
65032,12641
9951,164151
126458,36091
240896,677
81666,32641
141930,69529
105170,75908
117033,125436
131640,119769
119769,131640
7185,38602
98831,88512
98831,88512
230147,136724
40249,6940
184039,6940
86903,63931
56543,6434
86903,6940
8897,88
146284,88
250519,3369
236064,171763
175065,26092
292035,292033
243025,6940
66279,121801
38198,6940
432658,7690
42311,531
419047,4412
379028,317
78043,407
373751,332060
284917,50434
292033,292035
292035,292035
219490,3604
280783,6940
98100,201893
201893,98100
292035,292033
93481,1134
220557,23578
182007,4098
292033,292035
43055,43056
32641,81666
158955,404928
327431,67062
421605,385188
170844,43684
234582,214111
158955,404928
155554,677
118513,116633
268545,3369
207711,80101
233663,197322
277329,3369
145501,98100
7801,12159
128270,301843
119704,119705
306029,250519
197061,197061
197061,197061
197061,197061
197061,197061
207711,80101
28951,4936
216365,397128
12891,12810
5123,27484
202648,202648
27682,65644
119705,119704
28390,129924
114693,97446
446759,88
10273,158344
119705,119704
29012,9107
118513,118514
235712,3369
84225,10179
12879,10179
172389,109072
360504,112309
44308,10179
170661,75409
379840,3369
151159,15885
15911,1262
47321,192870
75409,170661
65644,220
18602,140383
