U5_USERKEY,U5_INDEG,U5_OUTDEG,U5_ACTIVITY,U5_JOINDATE,U5_REGTIME
4,494,16,510,54876,54876
28,7,7,14,117724,117724
71,456,11,467,133785,133785
88,3235,39,3274,133921,133921
107,1,1,2,71305,71305
131,21,24,45,155853,155853
165,3,5,8,163540,163540
167,5,0,5,55027,55027
228,21,3,24,152104,152104
232,6,7,13,125547,125547
233,4,3,7,152137,152137
308,740,6,746,141327,141327
313,1,1,2,90334,90334
319,5,7,12,143955,143955
328,2,4,6,140386,140386
368,14,5,19,94847,94847
389,54,12,66,172725,172725
411,32,5,37,133717,133717
438,18,21,39,139813,139813
439,172,45,217,36881,36881
457,3,5,8,55133,55133
461,151,7,158,161576,161576
468,310,87,397,155286,155286
478,14,12,26,168911,168911
492,333,74,407,135223,135223
502,265,102,367,137272,137272
505,72,15,87,159577,159577
510,121,5,126,55118,55118
511,482,68,550,137458,137458
531,255,6,261,73123,73123
540,67,13,80,167542,167542
541,30,12,42,56125,56125
550,158,8,166,150323,150323
553,152,57,209,118867,118867
559,9,9,18,167723,167723
580,56,36,92,149205,149205
621,10,2,12,77424,77424
637,2,2,4,151090,151090
657,2,3,5,149699,149699
697,7,2,9,149742,149742
722,2,4,6,63928,63928
723,5,4,9,128199,128199
769,3,4,7,164031,164031
783,10,5,15,79015,79015
786,3,9,12,44586,44586
832,621,19,640,144063,144063
844,14,4,18,133793,133793
885,203,17,220,137306,137306
912,1,0,1,137738,137738
931,4,9,13,133612,133612
948,2,1,3,129071,129071
1043,21,13,34,132116,132116
1054,1,1,2,39208,39208
1118,8,8,16,77230,77230
1126,0,1,1,59698,59698
1134,17,4,21,165270,165270
1142,22,10,32,131384,131384
1147,1,4,5,74471,74471
1152,13,17,30,163401,163401
1160,10,11,21,73860,73860
1170,29,26,55,139452,139452
1185,3,2,5,133120,133120
1215,0,3,3,144069,144069
1255,12,6,18,140968,140968
1262,56,4,60,85445,85445
1272,11,5,16,142285,142285
1276,1461,27,1488,143859,143859
1309,33,2,35,148572,148572
1357,163,10,173,163813,163813
1358,3,5,8,65109,65109
1359,3,2,5,65062,65062
1379,5,5,10,65132,65132
1385,4,5,9,104005,104005
1386,3,2,5,64490,64490
1400,12,6,18,57999,57999
1455,22,35,57,168276,168276
1471,9,18,27,127299,127299
1487,11,1,12,110479,110479
1526,7,0,7,145364,145364
1551,23,6,29,65117,65117
1579,6,6,12,159335,159335
1593,0,0,0,157811,157811
1609,7,6,13,118577,118577
1633,6,11,17,160972,160972
1654,16,4,20,94035,94035
1665,17,19,36,149994,149994
1694,3,4,7,85685,85685
1711,12,2,14,85984,85984
1725,1,1,2,129230,129230
1739,2,4,6,158080,158080
1774,24,3,27,147638,147638
1805,54,19,73,70242,70242
1825,0,2,2,55482,55482
1892,1,1,2,157048,157048
1898,0,6,6,138143,138143
1902,22,5,27,154749,154749
1912,27,18,45,43348,43348
1917,4,0,4,134179,134179
1945,178,3,181,162677,162677
1958,3,2,5,138291,138291
1999,115,16,131,133056,133056
2011,24,7,31,166026,166026
