RP_A,RP_B,SP_B,SP_C,TP_C,TP_D
10003,20103,20103,20203,20203,30303
10004,20104,20104,20204,20204,30304
10005,20105,20105,20205,20205,30305
10006,20106,20106,20206,20206,30306
10007,20107,20107,20207,20207,30307
10008,20108,20108,20208,20208,30308
10009,20109,20109,20209,20209,30309
10010,20110,20110,20210,20210,30310
10011,20111,20111,20211,20211,30311
10012,20112,20112,20212,20212,30312
10013,20113,20113,20213,20213,30313
10014,20114,20114,20214,20214,30314
10015,20115,20115,20215,20215,30315
10016,20116,20116,20216,20216,30316
10017,20117,20117,20217,20217,30317
10018,20118,20118,20218,20218,30318
10019,20119,20119,20219,20219,30319
10020,20120,20120,20220,20220,30320
10021,20121,20121,20221,20221,30321
10022,20122,20122,20222,20222,30322
10023,20123,20123,20223,20223,30323
10024,20124,20124,20224,20224,30324
10025,20125,20125,20225,20225,30325
10026,20126,20126,20226,20226,30326
10027,20127,20127,20227,20227,30327
10028,20128,20128,20228,20228,30328
10029,20129,20129,20229,20229,30329
10030,20130,20130,20230,20230,30330
10031,20131,20131,20231,20231,30331
10032,20132,20132,20232,20232,30332
10033,20133,20133,20233,20233,30333
10034,20134,20134,20234,20234,30334
10035,20135,20135,20235,20235,30335
10036,20136,20136,20236,20236,30336
10037,20137,20137,20237,20237,30337
10038,20138,20138,20238,20238,30338
10039,20139,20139,20239,20239,30339
10040,20140,20140,20240,20240,30340
10041,20141,20141,20241,20241,30341
10042,20142,20142,20242,20242,30342
10043,20143,20143,20243,20243,30343
10044,20144,20144,20244,20244,30344
10045,20145,20145,20245,20245,30345
10046,20146,20146,20246,20246,30346
10047,20147,20147,20247,20247,30347
10048,20148,20148,20248,20248,30348
10049,20149,20149,20249,20249,30349
10050,20150,20150,20250,20250,30350
10051,20151,20151,20251,20251,30351
10052,20152,20152,20252,20252,30352
10053,20153,20153,20253,20253,30353
10054,20154,20154,20254,20254,30354
10055,20155,20155,20255,20255,30355
10056,20156,20156,20256,20256,30356
10057,20157,20157,20257,20257,30357
10058,20158,20158,20258,20258,30358
10059,20159,20159,20259,20259,30359
10060,20160,20160,20260,20260,30360
10061,20161,20161,20261,20261,30361
10062,20162,20162,20262,20262,30362
10063,20163,20163,20263,20263,30363
10064,20164,20164,20264,20264,30364
10065,20165,20165,20265,20265,30365
10066,20166,20166,20266,20266,30366
10067,20167,20167,20267,20267,30367
10068,20168,20168,20268,20268,30368
10069,20169,20169,20269,20269,30369
10070,20170,20170,20270,20270,30370
10071,20171,20171,20271,20271,30371
10072,20172,20172,20272,20272,30372
10073,20173,20173,20273,20273,30373
10074,20174,20174,20274,20274,30374
10075,20175,20175,20275,20275,30375
10076,20176,20176,20276,20276,30376
10077,20177,20177,20277,20277,30377
10078,20178,20178,20278,20278,30378
10079,20179,20179,20279,20279,30379
10080,20180,20180,20280,20280,30380
10081,20181,20181,20281,20281,30381
10082,20182,20182,20282,20282,30382
10083,20183,20183,20283,20283,30383
10084,20184,20184,20284,20284,30384
10085,20185,20185,20285,20285,30385
10086,20186,20186,20286,20286,30386
10087,20187,20187,20287,20287,30387
10088,20188,20188,20288,20288,30388
10089,20189,20189,20289,20289,30389
10090,20190,20190,20290,20290,30390
10091,20191,20191,20291,20291,30391
10092,20192,20192,20292,20292,30392
10093,20193,20193,20293,20293,30393
10094,20194,20194,20294,20294,30394
10095,20195,20195,20295,20295,30395
10096,20196,20196,20296,20296,30396
10097,20197,20197,20297,20297,30397
10098,20198,20198,20298,20298,30398
10099,20199,20199,20299,20299,30399
10100,20200,20200,20300,20300,30400
10101,20201,20201,20301,20301,30401
10102,20202,20202,20302,20302,30402
