U1_USERKEY,U1_INDEG,U1_OUTDEG,U1_ACTIVITY,U1_JOINDATE,U2_USERKEY,U2_INDEG,U2_OUTDEG,U2_ACTIVITY,U2_JOINDATE,U3_USERKEY,U3_INDEG,U3_OUTDEG,U3_ACTIVITY,U3_JOINDATE
142125,0,1,1,55352,143579,0,1,1,55353,97560,1,0,1,55354
210100,0,1,1,55352,143579,0,1,1,55353,97560,1,0,1,55354
185591,0,1,1,55642,56132,0,3,3,55644,337809,0,1,1,55646
14517,1,1,2,55674,79338,0,1,1,55676,56903,1,2,3,55678
79338,0,1,1,55676,56903,1,2,3,55678,154833,0,1,1,55680
28245,1,3,4,56804,6835,4,3,7,56806,139359,0,1,1,56809
147421,0,0,0,56826,369633,0,1,1,56829,148247,0,0,0,56831
16016,7,6,13,57043,11256,6,5,11,57044,110262,0,0,0,57045
16016,7,6,13,57043,16936,2,5,7,57044,110262,0,0,0,57045
88816,1,1,2,57378,260323,1,1,2,57379,52944,0,1,1,57382
276891,0,1,1,58282,19113,0,0,0,58284,64606,1,1,2,58286
76940,0,3,3,58330,407383,0,1,1,58333,354323,0,2,2,58334
24593,0,1,1,58723,403358,0,1,1,58725,160612,1,2,3,58727
129924,0,6,6,61080,105544,1,2,3,61081,41633,0,0,0,61082
414756,0,1,1,66021,376324,0,1,1,66024,144339,0,1,1,66027
376324,0,1,1,66024,144339,0,1,1,66027,88491,0,1,1,66028
98473,0,0,0,66063,387837,0,2,2,66066,199845,1,1,2,66069
98473,0,0,0,66063,387837,0,2,2,66066,354906,0,1,1,66067
98473,0,0,0,66063,387837,0,2,2,66066,436941,0,1,1,66068
98473,0,0,0,66063,387837,0,2,2,66066,442230,0,1,1,66069
387837,0,2,2,66066,354906,0,1,1,66067,199845,1,1,2,66069
387837,0,2,2,66066,354906,0,1,1,66067,436941,0,1,1,66068
387837,0,2,2,66066,354906,0,1,1,66067,442230,0,1,1,66069
354906,0,1,1,66067,436941,0,1,1,66068,199845,1,1,2,66069
354906,0,1,1,66067,436941,0,1,1,66068,442230,0,1,1,66069
387837,0,2,2,66066,436941,0,1,1,66068,199845,1,1,2,66069
387837,0,2,2,66066,436941,0,1,1,66068,442230,0,1,1,66069
343164,1,2,3,66075,230483,0,1,1,66076,173412,0,1,1,66078
225572,0,1,1,66102,249143,0,0,0,66103,293802,0,1,1,66105
225572,0,1,1,66102,249143,0,0,0,66103,440430,0,1,1,66104
225572,0,1,1,66102,335209,0,1,1,66103,293802,0,1,1,66105
225572,0,1,1,66102,335209,0,1,1,66103,440430,0,1,1,66104
225572,0,1,1,66102,440430,0,1,1,66104,293802,0,1,1,66105
249143,0,0,0,66103,440430,0,1,1,66104,293802,0,1,1,66105
335209,0,1,1,66103,440430,0,1,1,66104,293802,0,1,1,66105
214507,0,1,1,66111,22313,4,1,5,66113,124298,0,1,1,66114
214507,0,1,1,66111,22313,4,1,5,66113,172534,0,2,2,66115
214507,0,1,1,66111,22313,4,1,5,66113,229706,0,1,1,66114
22313,4,1,5,66113,124298,0,1,1,66114,172534,0,2,2,66115
22313,4,1,5,66113,229706,0,1,1,66114,172534,0,2,2,66115
214507,0,1,1,66111,124298,0,1,1,66114,172534,0,2,2,66115
214507,0,1,1,66111,229706,0,1,1,66114,172534,0,2,2,66115
22313,4,1,5,66113,172534,0,2,2,66115,403936,0,1,1,66118
124298,0,1,1,66114,172534,0,2,2,66115,403936,0,1,1,66118
229706,0,1,1,66114,172534,0,2,2,66115,403936,0,1,1,66118
172534,0,2,2,66115,403936,0,1,1,66118,164139,0,1,1,66121
390202,0,1,1,66130,18852,0,1,1,66131,210119,1,2,3,66133
342980,0,1,1,66152,287700,0,1,1,66153,379254,0,2,2,66155
287700,0,1,1,66153,379254,0,2,2,66155,243349,0,1,1,66157
342980,0,1,1,66152,379254,0,2,2,66155,243349,0,1,1,66157
328660,0,1,1,66163,206507,0,1,1,66164,388770,0,1,1,66167
206507,0,1,1,66164,388770,0,1,1,66167,155398,0,2,2,66168
65528,0,1,1,66173,378484,0,1,1,66175,282200,0,1,1,66177
230276,0,1,1,66197,36705,1,2,3,66200,207933,0,1,1,66201
313247,0,1,1,66197,36705,1,2,3,66200,207933,0,1,1,66201
36705,1,2,3,66200,207933,0,1,1,66201,305110,0,1,1,66204
4519,2,2,4,66213,388352,0,2,2,66216,436552,0,1,1,66219
350621,0,1,1,66299,262576,0,1,1,66300,435947,0,1,1,66302
350621,0,1,1,66299,357511,0,2,2,66300,435947,0,1,1,66302
413505,0,1,1,66327,450295,0,1,1,66329,255911,0,2,2,66332
341298,0,1,1,66537,187094,1,1,2,66539,258526,0,1,1,66541
63279,1,0,1,66561,28539,1,1,2,66563,238743,0,0,0,66566
28539,1,1,2,66563,238743,0,0,0,66566,156007,1,2,3,66568
367713,0,1,1,66739,6443,0,0,0,66740,272099,0,1,1,66741
420960,0,1,1,66828,331228,0,1,1,66831,39889,27,8,35,66832
420960,0,1,1,66828,331228,0,1,1,66831,318634,0,1,1,66833
331228,0,1,1,66831,39889,27,8,35,66832,318634,0,1,1,66833
166454,2,7,9,67117,23116,7,2,9,67118,229230,0,2,2,67121
