F1_FOLLOWER,F1_FOLLOWED,U1_USERKEY,U1_INDEG,U1_OUTDEG,U1_ACTIVITY,U1_JOINDATE,U2_USERKEY,U2_INDEG,U2_OUTDEG,U2_ACTIVITY,U2_JOINDATE,F2_FOLLOWER,F2_FOLLOWED
45431,95829,95829,1,1,2,73858,1160,3,3,6,73860,1160,531
45431,95829,95829,1,1,2,73858,1160,3,3,6,73860,1160,23200
45431,95829,95829,1,1,2,73858,1160,3,3,6,73860,1160,3919
53478,63480,63480,2,2,4,73859,1160,3,3,6,73860,1160,531
53478,63480,63480,2,2,4,73859,1160,3,3,6,73860,1160,23200
53478,63480,63480,2,2,4,73859,1160,3,3,6,73860,1160,3919
63486,63480,63480,2,2,4,73859,1160,3,3,6,73860,1160,531
63486,63480,63480,2,2,4,73859,1160,3,3,6,73860,1160,23200
63486,63480,63480,2,2,4,73859,1160,3,3,6,73860,1160,3919
397128,216365,216365,1,1,2,79926,2325,2,3,5,79929,2325,4
397128,216365,216365,1,1,2,79926,2325,2,3,5,79929,2325,2426
397128,216365,216365,1,1,2,79926,2325,2,3,5,79929,2325,1805
28390,28245,28245,1,3,4,56804,6835,4,3,7,56806,6835,4
28390,28245,28245,1,3,4,56804,6835,4,3,7,56806,6835,25907
28390,28245,28245,1,3,4,56804,6835,4,3,7,56806,6835,16936
457,6999,6999,3,2,5,55025,7394,5,3,8,55027,7394,4
457,6999,6999,3,2,5,55025,7394,5,3,8,55027,7394,9514
457,6999,6999,3,2,5,55025,7394,5,3,8,55027,7394,28390
9514,6999,6999,3,2,5,55025,7394,5,3,8,55027,7394,4
9514,6999,6999,3,2,5,55025,7394,5,3,8,55027,7394,9514
9514,6999,6999,3,2,5,55025,7394,5,3,8,55027,7394,28390
16869,6999,6999,3,2,5,55025,7394,5,3,8,55027,7394,4
16869,6999,6999,3,2,5,55025,7394,5,3,8,55027,7394,9514
16869,6999,6999,3,2,5,55025,7394,5,3,8,55027,7394,28390
24215,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,51853
24215,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,6078
24215,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,36521
24215,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,79185
24215,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,30096
27252,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,51853
27252,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,6078
27252,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,36521
27252,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,79185
27252,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,30096
95644,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,51853
95644,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,6078
95644,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,36521
95644,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,79185
95644,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,30096
106748,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,51853
106748,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,6078
106748,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,36521
106748,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,79185
106748,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,30096
115038,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,51853
115038,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,6078
115038,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,36521
115038,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,79185
115038,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,30096
145918,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,51853
145918,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,6078
145918,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,36521
145918,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,79185
145918,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,30096
171763,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,51853
171763,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,6078
171763,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,36521
171763,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,79185
171763,16016,16016,7,6,13,57043,11256,6,5,11,57044,11256,30096
97979,208641,208641,2,1,3,73217,11992,1,1,2,73220,11992,531
398071,208641,208641,2,1,3,73217,11992,1,1,2,73220,11992,531
50218,131538,131538,1,3,4,71237,12042,4,4,8,71238,12042,7856
50218,131538,131538,1,3,4,71237,12042,4,4,8,71238,12042,25661
50218,131538,131538,1,3,4,71237,12042,4,4,8,71238,12042,33548
50218,131538,131538,1,3,4,71237,12042,4,4,8,71238,12042,33551
177943,130153,130153,1,1,2,73429,14544,1,1,2,73431,14544,8702
24215,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,4
24215,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,7394
24215,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,6835
24215,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,1805
24215,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,16091
27252,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,4
27252,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,7394
27252,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,6835
27252,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,1805
27252,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,16091
95644,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,4
95644,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,7394
95644,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,6835
95644,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,1805
95644,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,16091
106748,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,4
106748,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,7394
106748,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,6835
106748,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,1805
106748,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,16091
115038,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,4
115038,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,7394
115038,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,6835
115038,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,1805
115038,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,16091
145918,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,4
145918,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,7394
145918,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,6835
145918,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,1805
145918,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,16091
171763,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,4
171763,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,7394
171763,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,6835
171763,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,1805
171763,16016,16016,7,6,13,57043,16936,2,5,7,57044,16936,16091
137584,78750,78750,1,2,3,56045,17520,3,4,7,56046,17520,4
137584,78750,78750,1,2,3,56045,17520,3,4,7,56046,17520,20031
137584,78750,78750,1,2,3,56045,17520,3,4,7,56046,17520,72252
137584,78750,78750,1,2,3,56045,17520,3,4,7,56046,17520,108801
16528,57977,57977,3,5,8,71496,19535,1,1,2,71498,19535,71133
49184,57977,57977,3,5,8,71496,19535,1,1,2,71498,19535,71133
95037,57977,57977,3,5,8,71496,19535,1,1,2,71498,19535,71133
106209,166454,166454,2,7,9,67117,23116,7,2,9,67118,23116,12641
106209,166454,166454,2,7,9,67117,23116,7,2,9,67118,23116,65032
176859,166454,166454,2,7,9,67117,23116,7,2,9,67118,23116,12641
176859,166454,166454,2,7,9,67117,23116,7,2,9,67118,23116,65032
4310,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,6982
4310,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,136726
4310,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,13123
4310,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,12751
4310,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,18506
4310,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,16091
4310,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,37001
4310,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,23979
16970,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,6982
16970,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,136726
16970,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,13123
16970,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,12751
16970,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,18506
16970,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,16091
16970,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,37001
16970,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,23979
145918,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,6982
145918,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,136726
145918,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,13123
145918,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,12751
145918,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,18506
145918,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,16091
145918,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,37001
145918,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,23979
158097,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,6982
158097,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,136726
158097,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,13123
158097,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,12751
158097,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,18506
158097,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,16091
158097,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,37001
158097,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,23979
183976,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,6982
183976,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,136726
183976,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,13123
183976,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,12751
183976,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,18506
183976,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,16091
183976,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,37001
183976,4394,4394,5,3,8,58368,23976,7,8,15,58370,23976,23979
99258,376989,376989,1,0,1,381,26375,2,4,6,383,26375,4
99258,376989,376989,1,0,1,381,26375,2,4,6,383,26375,18626
99258,376989,376989,1,0,1,381,26375,2,4,6,383,26375,27381
99258,376989,376989,1,0,1,381,26375,2,4,6,383,26375,168365
4394,158097,158097,2,2,4,59745,26972,1,1,2,59748,26972,1400
153793,158097,158097,2,2,4,59745,26972,1,1,2,59748,26972,1400
234621,63279,63279,1,0,1,66561,28539,1,1,2,66563,28539,109113
122087,122106,122106,1,1,2,43591,28829,0,1,1,43594,28829,11135
2517,93488,93488,7,7,14,65909,31436,1,1,2,65911,31436,4519
40973,93488,93488,7,7,14,65909,31436,1,1,2,65911,31436,4519
67504,93488,93488,7,7,14,65909,31436,1,1,2,65911,31436,4519
93480,93488,93488,7,7,14,65909,31436,1,1,2,65911,31436,4519
93481,93488,93488,7,7,14,65909,31436,1,1,2,65911,31436,4519
182497,93488,93488,7,7,14,65909,31436,1,1,2,65911,31436,4519
189779,93488,93488,7,7,14,65909,31436,1,1,2,65911,31436,4519
53787,53718,53718,3,1,4,67394,37412,0,1,1,67397,37412,3369
118574,53718,53718,3,1,4,67394,37412,0,1,1,67397,37412,3369
131640,53718,53718,3,1,4,67394,37412,0,1,1,67397,37412,3369
43712,398971,398971,1,1,2,70592,38602,9,2,11,70595,38602,7185
43712,398971,398971,1,1,2,70592,38602,9,2,11,70595,38602,26092
57254,128344,128344,2,3,5,73209,39606,0,2,2,73211,39606,53613
57254,128344,128344,2,3,5,73209,39606,0,2,2,73211,39606,63144
162569,128344,128344,2,3,5,73209,39606,0,2,2,73211,39606,53613
162569,128344,128344,2,3,5,73209,39606,0,2,2,73211,39606,63144
10168,10273,10273,6,9,15,82009,43597,6,2,8,82011,43597,77138
10168,10273,10273,6,9,15,82009,43597,6,2,8,82011,43597,20327
10241,10273,10273,6,9,15,82009,43597,6,2,8,82011,43597,77138
10241,10273,10273,6,9,15,82009,43597,6,2,8,82011,43597,20327
44308,10273,10273,6,9,15,82009,43597,6,2,8,82011,43597,77138
44308,10273,10273,6,9,15,82009,43597,6,2,8,82011,43597,20327
67504,10273,10273,6,9,15,82009,43597,6,2,8,82011,43597,77138
67504,10273,10273,6,9,15,82009,43597,6,2,8,82011,43597,20327
67517,10273,10273,6,9,15,82009,43597,6,2,8,82011,43597,77138
67517,10273,10273,6,9,15,82009,43597,6,2,8,82011,43597,20327
120327,10273,10273,6,9,15,82009,43597,6,2,8,82011,43597,77138
120327,10273,10273,6,9,15,82009,43597,6,2,8,82011,43597,20327
57254,121801,121801,4,5,9,73870,44119,1,4,5,73872,44119,4
57254,121801,121801,4,5,9,73870,44119,1,4,5,73872,44119,37318
57254,121801,121801,4,5,9,73870,44119,1,4,5,73872,44119,38602
57254,121801,121801,4,5,9,73870,44119,1,4,5,73872,44119,22814
66279,121801,121801,4,5,9,73870,44119,1,4,5,73872,44119,4
66279,121801,121801,4,5,9,73870,44119,1,4,5,73872,44119,37318
66279,121801,121801,4,5,9,73870,44119,1,4,5,73872,44119,38602
66279,121801,121801,4,5,9,73870,44119,1,4,5,73872,44119,22814
98639,121801,121801,4,5,9,73870,44119,1,4,5,73872,44119,4
98639,121801,121801,4,5,9,73870,44119,1,4,5,73872,44119,37318
98639,121801,121801,4,5,9,73870,44119,1,4,5,73872,44119,38602
98639,121801,121801,4,5,9,73870,44119,1,4,5,73872,44119,22814
179799,121801,121801,4,5,9,73870,44119,1,4,5,73872,44119,4
179799,121801,121801,4,5,9,73870,44119,1,4,5,73872,44119,37318
179799,121801,121801,4,5,9,73870,44119,1,4,5,73872,44119,38602
179799,121801,121801,4,5,9,73870,44119,1,4,5,73872,44119,22814
31850,64729,64729,6,7,13,71247,45463,2,2,4,71248,45463,58939
31850,64729,64729,6,7,13,71247,45463,2,2,4,71248,45463,184039
39124,64729,64729,6,7,13,71247,45463,2,2,4,71248,45463,58939
39124,64729,64729,6,7,13,71247,45463,2,2,4,71248,45463,184039
64987,64729,64729,6,7,13,71247,45463,2,2,4,71248,45463,58939
64987,64729,64729,6,7,13,71247,45463,2,2,4,71248,45463,184039
97227,64729,64729,6,7,13,71247,45463,2,2,4,71248,45463,58939
97227,64729,64729,6,7,13,71247,45463,2,2,4,71248,45463,184039
100316,64729,64729,6,7,13,71247,45463,2,2,4,71248,45463,58939
100316,64729,64729,6,7,13,71247,45463,2,2,4,71248,45463,184039
148237,64729,64729,6,7,13,71247,45463,2,2,4,71248,45463,58939
148237,64729,64729,6,7,13,71247,45463,2,2,4,71248,45463,184039
16528,57977,57977,3,5,8,71496,50315,2,4,6,71499,50315,8702
16528,57977,57977,3,5,8,71496,50315,2,4,6,71499,50315,43939
16528,57977,57977,3,5,8,71496,50315,2,4,6,71499,50315,50319
16528,57977,57977,3,5,8,71496,50315,2,4,6,71499,50315,61732
49184,57977,57977,3,5,8,71496,50315,2,4,6,71499,50315,8702
49184,57977,57977,3,5,8,71496,50315,2,4,6,71499,50315,43939
49184,57977,57977,3,5,8,71496,50315,2,4,6,71499,50315,50319
49184,57977,57977,3,5,8,71496,50315,2,4,6,71499,50315,61732
71133,19535,19535,1,1,2,71498,50315,2,4,6,71499,50315,8702
71133,19535,19535,1,1,2,71498,50315,2,4,6,71499,50315,43939
71133,19535,19535,1,1,2,71498,50315,2,4,6,71499,50315,50319
71133,19535,19535,1,1,2,71498,50315,2,4,6,71499,50315,61732
95037,57977,57977,3,5,8,71496,50315,2,4,6,71499,50315,8702
95037,57977,57977,3,5,8,71496,50315,2,4,6,71499,50315,43939
95037,57977,57977,3,5,8,71496,50315,2,4,6,71499,50315,50319
95037,57977,57977,3,5,8,71496,50315,2,4,6,71499,50315,61732
31961,35207,35207,3,4,7,73151,51071,0,2,2,73154,51071,5393
31961,35207,35207,3,4,7,73151,51071,0,2,2,73154,51071,51177
35209,35207,35207,3,4,7,73151,51071,0,2,2,73154,51071,5393
35209,35207,35207,3,4,7,73151,51071,0,2,2,73154,51071,51177
103787,35207,35207,3,4,7,73151,51071,0,2,2,73154,51071,5393
103787,35207,35207,3,4,7,73151,51071,0,2,2,73154,51071,51177
5393,22566,22566,5,9,14,55001,51652,2,3,5,55003,51652,4
5393,22566,22566,5,9,14,55001,51652,2,3,5,55003,51652,14170
5393,22566,22566,5,9,14,55001,51652,2,3,5,55003,51652,134290
37657,22566,22566,5,9,14,55001,51652,2,3,5,55003,51652,4
37657,22566,22566,5,9,14,55001,51652,2,3,5,55003,51652,14170
37657,22566,22566,5,9,14,55001,51652,2,3,5,55003,51652,134290
37694,22566,22566,5,9,14,55001,51652,2,3,5,55003,51652,4
37694,22566,22566,5,9,14,55001,51652,2,3,5,55003,51652,14170
37694,22566,22566,5,9,14,55001,51652,2,3,5,55003,51652,134290
62086,22566,22566,5,9,14,55001,51652,2,3,5,55003,51652,4
62086,22566,22566,5,9,14,55001,51652,2,3,5,55003,51652,14170
62086,22566,22566,5,9,14,55001,51652,2,3,5,55003,51652,134290
113232,22566,22566,5,9,14,55001,51652,2,3,5,55003,51652,4
113232,22566,22566,5,9,14,55001,51652,2,3,5,55003,51652,14170
113232,22566,22566,5,9,14,55001,51652,2,3,5,55003,51652,134290
16528,57977,57977,3,5,8,71496,51682,0,1,1,71498,51682,14570
49184,57977,57977,3,5,8,71496,51682,0,1,1,71498,51682,14570
95037,57977,57977,3,5,8,71496,51682,0,1,1,71498,51682,14570
4798,71246,71246,1,2,3,73252,52293,3,4,7,73254,52293,29648
4798,71246,71246,1,2,3,73252,52293,3,4,7,73254,52293,12891
4798,71246,71246,1,2,3,73252,52293,3,4,7,73254,52293,10091
4798,71246,71246,1,2,3,73252,52293,3,4,7,73254,52293,10179
31850,64729,64729,6,7,13,71247,52322,1,3,4,71249,52322,4
31850,64729,64729,6,7,13,71247,52322,1,3,4,71249,52322,11978
31850,64729,64729,6,7,13,71247,52322,1,3,4,71249,52322,74936
39124,64729,64729,6,7,13,71247,52322,1,3,4,71249,52322,4
39124,64729,64729,6,7,13,71247,52322,1,3,4,71249,52322,11978
39124,64729,64729,6,7,13,71247,52322,1,3,4,71249,52322,74936
58939,45463,45463,2,2,4,71248,52322,1,3,4,71249,52322,4
58939,45463,45463,2,2,4,71248,52322,1,3,4,71249,52322,11978
58939,45463,45463,2,2,4,71248,52322,1,3,4,71249,52322,74936
64987,64729,64729,6,7,13,71247,52322,1,3,4,71249,52322,4
64987,64729,64729,6,7,13,71247,52322,1,3,4,71249,52322,11978
64987,64729,64729,6,7,13,71247,52322,1,3,4,71249,52322,74936
97227,64729,64729,6,7,13,71247,52322,1,3,4,71249,52322,4
97227,64729,64729,6,7,13,71247,52322,1,3,4,71249,52322,11978
97227,64729,64729,6,7,13,71247,52322,1,3,4,71249,52322,74936
100316,64729,64729,6,7,13,71247,52322,1,3,4,71249,52322,4
100316,64729,64729,6,7,13,71247,52322,1,3,4,71249,52322,11978
100316,64729,64729,6,7,13,71247,52322,1,3,4,71249,52322,74936
148237,64729,64729,6,7,13,71247,52322,1,3,4,71249,52322,4
148237,64729,64729,6,7,13,71247,52322,1,3,4,71249,52322,11978
148237,64729,64729,6,7,13,71247,52322,1,3,4,71249,52322,74936
184039,45463,45463,2,2,4,71248,52322,1,3,4,71249,52322,4
184039,45463,45463,2,2,4,71248,52322,1,3,4,71249,52322,11978
184039,45463,45463,2,2,4,71248,52322,1,3,4,71249,52322,74936
292721,260323,260323,1,1,2,57379,52944,0,1,1,57382,52944,4
786,783,783,3,1,4,79015,53100,0,1,1,79016,53100,3604
23610,783,783,3,1,4,79015,53100,0,1,1,79016,53100,3604
307383,783,783,3,1,4,79015,53100,0,1,1,79016,53100,3604
2517,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,119769
2517,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,53859
2517,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,228557
9951,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,119769
9951,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,53859
9951,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,228557
10381,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,119769
10381,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,53859
10381,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,228557
35839,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,119769
35839,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,53859
35839,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,228557
38937,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,119769
38937,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,53859
38937,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,228557
40973,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,119769
40973,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,53859
40973,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,228557
51319,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,119769
51319,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,53859
51319,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,228557
59000,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,119769
59000,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,53859
