S1_S_SUPPKEY,S1_S_NAME,S1_S_ADDRESS,S1_S_NATIONKEY,S1_S_PHONE,S1_S_ACCTBAL,S1_S_COMMENT,S2_S_SUPPKEY,S2_S_NAME,S2_S_ADDRESS,S2_S_NATIONKEY,S2_S_PHONE,S2_S_ACCTBAL,S2_S_COMMENT
5,64952534,366176741,11,103869805,-28383,275262022,1,792906294,317827973,17,971385163,575594,622797579
5,64952534,366176741,11,103869805,-28383,275262022,2,549623314,849027485,5,58126162,403268,958596215
5,64952534,366176741,11,103869805,-28383,275262022,3,458785,31140224,1,73682198,419239,154263564
5,64952534,366176741,11,103869805,-28383,275262022,4,829353804,938198330,15,991041614,464108,693080424
5,64952534,366176741,11,103869805,-28383,275262022,6,564123676,816784291,14,177982233,136579,447900922
5,64952534,366176741,11,103869805,-28383,275262022,7,11315813,791810943,23,1051077640,682035,798884201
5,64952534,366176741,11,103869805,-28383,275262022,8,292608994,956262271,17,801108420,762785,918253410
5,64952534,366176741,11,103869805,-28383,275262022,9,895777001,658451645,10,73320802,530237,726765942
5,64952534,366176741,11,103869805,-28383,275262022,10,327251235,437448823,24,477752411,389191,626155487
6,564123676,816784291,14,177982233,136579,447900922,1,792906294,317827973,17,971385163,575594,622797579
6,564123676,816784291,14,177982233,136579,447900922,2,549623314,849027485,5,58126162,403268,958596215
6,564123676,816784291,14,177982233,136579,447900922,3,458785,31140224,1,73682198,419239,154263564
6,564123676,816784291,14,177982233,136579,447900922,4,829353804,938198330,15,991041614,464108,693080424
6,564123676,816784291,14,177982233,136579,447900922,7,11315813,791810943,23,1051077640,682035,798884201
6,564123676,816784291,14,177982233,136579,447900922,8,292608994,956262271,17,801108420,762785,918253410
6,564123676,816784291,14,177982233,136579,447900922,9,895777001,658451645,10,73320802,530237,726765942
6,564123676,816784291,14,177982233,136579,447900922,10,327251235,437448823,24,477752411,389191,626155487
10,327251235,437448823,24,477752411,389191,626155487,1,792906294,317827973,17,971385163,575594,622797579
10,327251235,437448823,24,477752411,389191,626155487,2,549623314,849027485,5,58126162,403268,958596215
10,327251235,437448823,24,477752411,389191,626155487,3,458785,31140224,1,73682198,419239,154263564
10,327251235,437448823,24,477752411,389191,626155487,4,829353804,938198330,15,991041614,464108,693080424
10,327251235,437448823,24,477752411,389191,626155487,7,11315813,791810943,23,1051077640,682035,798884201
10,327251235,437448823,24,477752411,389191,626155487,8,292608994,956262271,17,801108420,762785,918253410
10,327251235,437448823,24,477752411,389191,626155487,9,895777001,658451645,10,73320802,530237,726765942
2,549623314,849027485,5,58126162,403268,958596215,1,792906294,317827973,17,971385163,575594,622797579
2,549623314,849027485,5,58126162,403268,958596215,3,458785,31140224,1,73682198,419239,154263564
2,549623314,849027485,5,58126162,403268,958596215,4,829353804,938198330,15,991041614,464108,693080424
2,549623314,849027485,5,58126162,403268,958596215,7,11315813,791810943,23,1051077640,682035,798884201
2,549623314,849027485,5,58126162,403268,958596215,8,292608994,956262271,17,801108420,762785,918253410
2,549623314,849027485,5,58126162,403268,958596215,9,895777001,658451645,10,73320802,530237,726765942
3,458785,31140224,1,73682198,419239,154263564,1,792906294,317827973,17,971385163,575594,622797579
3,458785,31140224,1,73682198,419239,154263564,4,829353804,938198330,15,991041614,464108,693080424
3,458785,31140224,1,73682198,419239,154263564,7,11315813,791810943,23,1051077640,682035,798884201
3,458785,31140224,1,73682198,419239,154263564,8,292608994,956262271,17,801108420,762785,918253410
3,458785,31140224,1,73682198,419239,154263564,9,895777001,658451645,10,73320802,530237,726765942
4,829353804,938198330,15,991041614,464108,693080424,1,792906294,317827973,17,971385163,575594,622797579
4,829353804,938198330,15,991041614,464108,693080424,7,11315813,791810943,23,1051077640,682035,798884201
4,829353804,938198330,15,991041614,464108,693080424,8,292608994,956262271,17,801108420,762785,918253410
4,829353804,938198330,15,991041614,464108,693080424,9,895777001,658451645,10,73320802,530237,726765942
9,895777001,658451645,10,73320802,530237,726765942,1,792906294,317827973,17,971385163,575594,622797579
9,895777001,658451645,10,73320802,530237,726765942,7,11315813,791810943,23,1051077640,682035,798884201
9,895777001,658451645,10,73320802,530237,726765942,8,292608994,956262271,17,801108420,762785,918253410
1,792906294,317827973,17,971385163,575594,622797579,7,11315813,791810943,23,1051077640,682035,798884201
1,792906294,317827973,17,971385163,575594,622797579,8,292608994,956262271,17,801108420,762785,918253410
7,11315813,791810943,23,1051077640,682035,798884201,8,292608994,956262271,17,801108420,762785,918253410
