P1_P_PARTKEY,P1_P_NAME,P1_P_MFGR,P1_P_BRAND,P1_P_TYPE,P1_P_SIZE,P1_P_CONTAINER,P1_P_RETAILPRICE,P1_P_COMMENT,P2_P_PARTKEY,P2_P_NAME,P2_P_MFGR,P2_P_BRAND,P2_P_TYPE,P2_P_SIZE,P2_P_CONTAINER,P2_P_RETAILPRICE,P2_P_COMMENT
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,2,1036852560,771295877,217131576,470635529,1,879565806,90200,258989193
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,3,9972049,746353615,101328949,174765293,21,465668967,90300,670137559
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,4,1038465551,148938891,94198614,592304742,14,953509940,90400,425860376
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,5,875549426,148938891,727612909,722086805,15,550896505,90500,393036131
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,6,772935930,517898394,1054171291,797931882,4,318602348,90600,865731678
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,7,696220039,771295877,455515320,774940712,45,597972761,90700,352719209
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,8,73190200,746353615,295396558,385493775,41,93629567,90800,123620754
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,9,80460077,746353615,329397387,276438248,12,465668967,90900,327041513
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,10,238062080,281431799,802148191,162576753,44,324025281,91001,173967334
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,11,174706334,517898394,848012021,458530909,43,474760255,91101,925897892
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,12,990472363,148938891,617800143,25274130,25,749080833,91201,239398635
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,13,737076531,281431799,504640044,405505079,1,331909327,91301,527916917
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,14,660116346,771295877,217131576,878084239,28,394049937,91401,517399944
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,15,215649749,771295877,910436512,565510548,45,879565806,91501,117927712
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,16,745135539,148938891,727612909,1072352938,2,664301207,91601,467911453
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,17,216479008,746353615,329397387,233120731,16,1043219872,91701,1035145418
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,18,701783808,771295877,455515320,276438248,42,331909327,91801,664976745
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,19,185724300,517898394,710613083,1051211786,33,474760255,91901,508405742
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,20,248633721,771295877,776554983,828229355,48,318602348,92002,70089287
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,21,1069393840,148938891,617800143,124943277,31,318602348,92102,308285279
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,22,488727215,746353615,329397387,11048831,19,93629567,92202,606805909
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,23,108521561,148938891,52033420,1057755026,42,936208175,92302,287576520
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,24,230117250,281431799,115034031,620008022,20,221664743,92402,293818480
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,25,6650807,281431799,504640044,667177693,3,189999967,92502,357293952
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,26,264339328,148938891,727612909,105300925,32,549151352,92602,1044562118
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,27,616028752,771295877,44594699,504363518,20,868506000,92702,980365723
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,28,498709221,746353615,295396558,774940712,19,141828527,92802,122671294
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,29,661637982,148938891,617800143,310050696,7,93629567,92902,214378576
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,30,174379617,746353615,101328949,598973532,17,1043219872,93003,317007761
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,31,102560291,281431799,842778345,933199294,10,687933077,93103,341072683
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,32,495843272,746353615,101328949,176272336,31,879565806,93203,317562861
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,33,61718383,517898394,976033998,940814844,16,316861689,93303,927951528
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,34,373081029,771295877,217131576,756113866,8,394049937,93403,935406810
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,35,625500308,746353615,329397387,484414577,14,331909327,93503,125481324
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,36,280602853,517898394,848012021,478032789,3,722252742,93603,928302025
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,37,277974549,746353615,563129850,627275790,48,394049937,93703,680218108
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,38,166420271,746353615,329397387,886100250,11,711761432,93803,588993906
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,39,605423794,281431799,842778345,533687552,43,936208175,93903,445257647
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,40,758542368,517898394,848012021,979154826,27,549151352,94004,540437845
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,41,883720411,517898394,710613083,726714616,7,48874573,94104,140081055
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,42,223217626,281431799,115034031,1057755026,45,1043219872,94204,564855011
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,43,974568697,746353615,295396558,1063883223,5,465668967,94304,573684155
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,44,173689766,746353615,563129850,926222880,48,345293520,94404,115144025
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,45,377820575,746353615,329397387,356941240,9,366026838,94504,614508629
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,46,78077111,771295877,455515320,722086805,45,465668967,94604,437222444
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,47,505143996,746353615,563129850,227274473,14,331909327,94704,306511656
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,48,1051463212,281431799,842778345,14662407,27,749080833,94804,732979721
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,49,599427099,517898394,1054171291,124943277,31,953509940,94904,351876650
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,50,232472266,148938891,617800143,504363518,25,556313589,95005,20852276
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,51,740126767,746353615,563129850,322927802,34,331909327,95105,781406964
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,52,716751382,148938891,52033420,963664059,25,465668967,95205,299812297
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,53,933702366,517898394,710613083,322927802,32,318602348,95305,853970445
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,54,824857363,517898394,833960910,291643697,19,465668967,95405,346139839
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,55,724689560,517898394,710613083,797093827,9,318602348,95505,96300283
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,56,739575433,771295877,776554983,620008022,20,835920787,95605,1029460418
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,57,556309405,148938891,727612909,176819125,49,868506000,95705,472823861
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,58,374164642,281431799,842778345,722086805,44,250135891,95805,223806562
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,59,184146764,281431799,842778345,56238505,2,687933077,95905,1020323563
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,60,490303164,771295877,455515320,42804050,27,749080833,96006,25258997
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,61,59880998,281431799,802148191,463741129,18,835920787,96106,980688801
1,168013630,771295877,217131576,418753088,7,141828527,90100,953492020,62,182793988,148938891,52033420,771360077,39,394049937,96206,560494917
