N_NATIONKEY,N_NAME,N_REGIONKEY,N_COMMENT,S_SUPPKEY,S_NAME,S_ADDRESS,S_NATIONKEY,S_PHONE,S_ACCTBAL,S_COMMENT,C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT,O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT,L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
15,962519746,0,265433381,4,829353804,938198330,15,991041614,464108,693080424,79,620373923,918253789,15,1003789897,512128,797027742,999752886,2,79,777177650,4018329,35398,382018914,1004416405,0,961696594,2,107,2,1,3800,3826980,0,5,146356532,777177650,35456,35442,35461,862871618,250142940,894083619
10,185743883,4,261867689,9,895777001,658451645,10,73320802,530237,726765942,56,1002271304,628821590,10,666136321,653086,373412815,658726857,6,56,330563436,3646855,33653,483467692,921226874,0,489251134,6,140,6,1,3700,3848518,8,3,449642453,330563436,33719,33737,33724,862871618,86983390,987992796
11,319240162,4,108891028,5,64952534,366176741,11,103869805,-28383,275262022,131,177759885,35988995,11,534137668,859553,750198692,317345255,32,131,777177650,11692300,34894,919150108,901823498,0,589468055,32,83,4,1,2800,2752624,5,8,146356532,777177650,34993,34936,34996,862871618,86983390,1015304308
11,319240162,4,108891028,5,64952534,366176741,11,103869805,-28383,275262022,131,177759885,35988995,11,534137668,859553,750198692,317345255,32,131,777177650,11692300,34894,919150108,901823498,0,589468055,32,198,10,2,3200,3514208,2,0,146356532,777177650,34923,34977,34936,785149710,365042431,289343564
11,319240162,4,108891028,5,64952534,366176741,11,103869805,-28383,275262022,131,177759885,35988995,11,534137668,859553,750198692,317345255,32,131,777177650,11692300,34894,919150108,901823498,0,589468055,32,45,2,3,200,189008,9,2,146356532,777177650,34916,34977,34932,749443834,365042431,1010253260
11,319240162,4,108891028,5,64952534,366176741,11,103869805,-28383,275262022,131,177759885,35988995,11,534137668,859553,750198692,317345255,32,131,777177650,11692300,34894,919150108,901823498,0,589468055,32,3,8,4,400,361200,9,3,146356532,777177650,34913,34971,34943,106211174,1001693018,758019093
11,319240162,4,108891028,5,64952534,366176741,11,103869805,-28383,275262022,131,177759885,35988995,11,534137668,859553,750198692,317345255,32,131,777177650,11692300,34894,919150108,901823498,0,589468055,32,86,7,5,4400,4338752,5,6,146356532,777177650,34937,34929,34954,749443834,365042431,252798257
11,319240162,4,108891028,5,64952534,366176741,11,103869805,-28383,275262022,131,177759885,35988995,11,534137668,859553,750198692,317345255,32,131,777177650,11692300,34894,919150108,901823498,0,589468055,32,12,6,6,600,547206,4,3,146356532,777177650,34899,34963,34903,785149710,250142940,296901992
15,962519746,0,265433381,4,829353804,938198330,15,991041614,464108,693080424,34,3104980,1067983329,15,829251106,858970,750198692,421313236,64,34,330563436,2006573,34529,1030545334,922396659,0,508787695,64,86,7,1,2100,2070768,5,2,378580043,330563436,34605,34593,34631,749443834,1001693018,823687685
5,529057841,0,890382161,2,549623314,849027485,5,58126162,403268,958596215,85,1001770604,231357394,5,608676529,338664,373412815,725868244,69,85,330563436,16217623,34487,483467692,205578871,0,39198612,69,116,10,1,4800,4877328,1,7,449642453,330563436,34561,34555,34583,106211174,86983390,53740253
5,529057841,0,890382161,2,549623314,849027485,5,58126162,403268,958596215,85,1001770604,231357394,5,608676529,338664,373412815,725868244,69,85,330563436,16217623,34487,483467692,205578871,0,39198612,69,105,10,2,3200,3216320,8,6,449642453,330563436,34568,34561,34575,106211174,1001693018,660961569
5,529057841,0,890382161,2,549623314,849027485,5,58126162,403268,958596215,85,1001770604,231357394,5,608676529,338664,373412815,725868244,69,85,330563436,16217623,34487,483467692,205578871,0,39198612,69,138,4,3,1700,1764821,9,0,449642453,330563436,34515,34520,34516,862871618,365042431,305525252
5,529057841,0,890382161,2,549623314,849027485,5,58126162,403268,958596215,85,1001770604,231357394,5,608676529,338664,373412815,725868244,69,85,330563436,16217623,34487,483467692,205578871,0,39198612,69,38,9,4,300,281409,9,4,378580043,330563436,34489,34540,34498,106211174,431484053,948234142
